7754_108640_000000_000000	I replied as best I could--as only a true lover can.	I replied as best I could-as only a true lover can.	true	31.095	35.05	22
7754_108640_000000_000001	I spoke at length, and perseveringly of my devotion, of my passion--of her exceeding beauty, and of my own enthusiastic admiration.	I spoke at length, and perseveringly of my devotion, of my passion-of her exceeding beauty, and of my own enthusiastic admiration.	true	35.27	44.74	24.178967
7754_108640_000000_000002	In conclusion, I dwelt, with a convincing energy, upon the perils that encompass the course of love--that course of true love that never did run smooth--and thus deduced the manifest danger of rendering that course unnecessarily long.	In conclusion, I dwelt, with a convincing energy, upon the perils that encompass the course of love-that course of true love that never did run smooth-and thus deduced the manifest danger of rendering that course unnecessarily long.	true	45.14	61.27	23.394192
7754_108640_000001_000000	This latter argument seemed finally to soften the rigor of her determination.	This latter argument seemed finally to soften the rigor of her determination.	true	62.42	67	20
7754_108640_000001_000001	She relented; but there was yet an obstacle, she said, which she felt assured I had not properly considered.	She relented; but there was yet an obstacle, she said, which she felt assured I had not properly considered.	true	67.37	75.04	23.87713
7754_108640_000001_000002	This was a delicate point--for a woman to urge, especially so; in mentioning it, she saw that she must make a sacrifice of her feelings; still, for me, every sacrifice should be made.	This was a delicate point-for a woman to urge, especially so; in mentioning it, she saw that she must make a sacrifice of her feelings; still, for me, every sacrifice should be made.	true	75.17	87.88	23.12558
7754_108640_000001_000003	She alluded to the topic of age.	She alluded to the topic of age.	true	88.34	91.42	26.397629
7754_108640_000001_000004	Was I aware--was I fully aware of the discrepancy between us?	Was I aware-was I fully aware of the discrepancy between us?	true	91.76	96.43	23.636251
7754_108640_000001_000005	That the age of the husband, should surpass by a few years--even by fifteen or twenty--the age of the wife, was regarded by the world as admissible, and, indeed, as even proper, but she had always entertained the belief that the years of the wife should never exceed in number those of the husband.	That the age of the husband, should surpass by a few years-even by fifteen or twenty-the age of the wife, was regarded by the world as admissible, and, indeed, as even proper, but she had always entertained the belief that the years of the wife should never exceed in number those of the husband.	true	96.65	114.49	21.633007
7754_108640_000001_000006	A discrepancy of this unnatural kind gave rise, too frequently, alas! to a life of unhappiness.	A discrepancy of this unnatural kind gave rise, too frequently, alas! to a life of unhappiness.	true	114.68	121.84	24.013138
7754_108640_000001_000007	Now she was aware that my own age did not exceed two and twenty; and I, on the contrary, perhaps, was not aware that the years of my Eugenie extended very considerably beyond that sum.	Now she was aware that my own age did not exceed two and twenty; and I, on the contrary, perhaps, was not aware that the years of my Eugenie extended very considerably beyond that sum.	true	122.45	134.8	24.65374
7754_108640_000002_000000	About all this there was a nobility of soul--a dignity of candor--which delighted--which enchanted me--which eternally riveted my chains.	About all this there was a nobility of soul-a dignity of candor-which delighted-which enchanted me-which eternally riveted my chains.	true	135.89	145.99	21.646835
7754_108640_000002_000001	I could scarcely restrain the excessive transport which possessed me.	I could scarcely restrain the excessive transport which possessed me.	true	146.18	150.19	21
7754_108640_000003_000000	"My sweetest Eugenie," I cried, "what is all this about which you are discoursing?	"My sweetest Eugenie," I cried, "what is all this about which you are discoursing?	true	150.83	155.56	19.618769
7754_108640_000003_000001	Your years surpass in some measure my own.	Your years surpass in some measure my own.	true	155.6	158.46	20.75023
7754_108640_000003_000002	But what then? The customs of the world are so many conventional follies.	But what then? The customs of the world are so many conventional follies.	true	158.46	163.27	24.034079
7754_108640_000003_000003	To those who love as ourselves, in what respect differs a year from an hour?	To those who love as ourselves, in what respect differs a year from an hour?	true	163.58	168.67	20.190275
7754_108640_000003_000004	I am twenty-two, you say, granted: indeed, you may as well call me, at once, twenty-three.	I am twenty two, you say, granted: indeed, you may as well call me, at once, twenty three.	true	168.89	176.17	24.584986
7754_108640_000003_000005	Now you yourself, my dearest Eugenie, can have numbered no more than--can have numbered no more than--no more than--than--than--than--"	Now you yourself, my dearest Eugenie, can have numbered no more than-can have numbered no more than-no more than-than-than-than-"	false	176.39	190.29	21.291428
7754_108640_000004_000000	Here I paused for an instant, in the expectation that Madame Lalande would interrupt me by supplying her true age.	Here I paused for an instant, in the expectation that Madame Lalande would interrupt me by supplying her true age.	true	190.29	197.85	23.543743
7754_108640_000004_000001	But a Frenchwoman is seldom direct, and has always, by way of answer to an embarrassing query, some little practical reply of her own.	But a Frenchwoman is seldom direct, and has always, by way of answer to an embarrassing query, some little practical reply of her own.	true	197.85	206.17	18
7754_108640_000004_000002	In the present instance, Eugenie, who for a few moments past had seemed to be searching for something in her bosom, at length let fall upon the grass a miniature, which I immediately picked up and presented to her.	In the present instance, Eugenie, who for a few moments past had seemed to be searching for something in her bosom, at length let fall upon the grass a miniature, which I immediately picked up and presented to her.	true	206.6	219.07	23.8922
7754_108640_000005_000000	"Keep it!" she said, with one of her most ravishing smiles.	"Keep it!" she said, with one of her most ravishing smiles.	true	219.11	222.73	24.17696
7754_108640_000005_000001	"Keep it for my sake--for the sake of her whom it too flatteringly represents. Besides, upon the back of the trinket you may discover, perhaps, the very information you seem to desire.	"Keep it for my sake-for the sake of her whom it too flatteringly represents. Besides, upon the back of the trinket you may discover, perhaps, the very information you seem to desire.	true	223.13	234.52	23.183416
7754_108640_000005_000002	It is now, to be sure, growing rather dark--but you can examine it at your leisure in the morning.	It is now, to be sure, growing rather dark-but you can examine it at your leisure in the morning.	true	234.8	240.7	23.687365
7754_108640_000005_000003	In the meantime, you shall be my escort home to-night.	In the meantime, you shall be my escort home to night.	true	241.16	244.48	22.695646
7754_108640_000005_000004	My friends are about holding a little musical levee.	My friends are about holding a little musical levee.	true	244.97	248.26	18.953953
7754_108640_000005_000005	I can promise you, too, some good singing.	I can promise you, too, some good singing.	true	248.45	250.78	24.618198
7754_108640_000005_000006	We French are not nearly so punctilious as you Americans, and I shall have no difficulty in smuggling you in, in the character of an old acquaintance."	We French are not nearly so punctilious as you Americans, and I shall have no difficulty in smuggling you in, in the character of an old acquaintance."	true	250.94	260.17	21.602
7754_108640_000006_000000	With this, she took my arm, and I attended her home.	With this, she took my arm, and I attended her home.	true	260.78	264.6	23.782202
7754_108640_000006_000001	The mansion was quite a fine one, and, I believe, furnished in good taste.	The mansion was quite a fine one, and, I believe, furnished in good taste.	false	264.6	268.42	16
7754_108640_000006_000002	Of this latter point, however, I am scarcely qualified to judge; for it was just dark as we arrived; and in American mansions of the better sort lights seldom, during the heat of summer, make their appearance at this, the most pleasant period of the day.	Of this latter point, however, I am scarcely qualified to judge; for it was just dark as we arrived; and in American mansions of the better sort lights seldom, during the heat of summer, make their appearance at this, the most pleasant period of the day.	false	268.55	283.44	23.597805
7754_108640_000006_000003	In about an hour after my arrival, to be sure, a single shaded solar lamp was lit in the principal drawing-room; and this apartment, I could thus see, was arranged with unusual good taste and even splendor; but two other rooms of the suite, and in which the company chiefly assembled, remained, during the whole evening, in a very agreeable shadow.	In about an hour after my arrival, to be sure, a single shaded solar lamp was lit in the principal drawing room; and this apartment, I could thus see, was arranged with unusual good taste and even splendor; but two other rooms of the suite, and in which the company chiefly assembled, remained, during the whole evening, in a very agreeable shadow.	true	283.44	304.81	21.748728
7754_108640_000006_000004	This is a well-conceived custom, giving the party at least a choice of light or shade, and one which our friends over the water could not do better than immediately adopt.	This is a well conceived custom, giving the party at least a choice of light or shade, and one which our friends over the water could not do better than immediately adopt.	true	305.15	314.71	23.333567
7754_108640_000007_000000	The evening thus spent was unquestionably the most delicious of my life. Madame Lalande had not overrated the musical abilities of her friends; and the singing I here heard I had never heard excelled in any private circle out of Vienna.	The evening thus spent was unquestionably the most delicious of my life. Madame Lalande had not overrated the musical abilities of her friends; and the singing I here heard I had never heard excelled in any private circle out of Vienna.	true	315.23	330.91	20.182734
7754_108640_000007_000001	The instrumental performers were many and of superior talents.	The instrumental performers were many and of superior talents.	true	331.19	334.93	21
7754_108640_000007_000002	The vocalists were chiefly ladies, and no individual sang less than well.	The vocalists were chiefly ladies, and no individual sang less than well.	true	335.09	340.09	21.743332
7754_108640_000007_000003	At length, upon a peremptory call for "Madame Lalande," she arose at once, without affectation or demur, from the chaise longue upon which she had sat by my side, and, accompanied by one or two gentlemen and her female friend of the opera, repaired to the piano in the main drawing-room.	At length, upon a peremptory call for "Madame Lalande," she arose at once, without affectation or demur, from the chaise longue upon which she had sat by my side, and, accompanied by one or two gentlemen and her female friend of the opera, repaired to the piano in the main drawing room.	true	340.91	359.32	19.632685
7754_108640_000007_000004	I would have escorted her myself, but felt that, under the circumstances of my introduction to the house, I had better remain unobserved where I was.	I would have escorted her myself, but felt that, under the circumstances of my introduction to the house, I had better remain unobserved where I was.	true	359.78	368.77	23
7754_108640_000007_000005	I was thus deprived of the pleasure of seeing, although not of hearing, her sing.	I was thus deprived of the pleasure of seeing, although not of hearing, her sing.	true	369.08	374.05	23.846228
7754_108640_000008_000000	The impression she produced upon the company seemed electrical but the effect upon myself was something even more.	The impression she produced upon the company seemed electrical but the effect upon myself was something even more.	true	374.96	381.7	22.002026
7754_108640_000008_000001	I know not how adequately to describe it.	I know not how adequately to describe it.	true	381.92	385.08	27.560787
7754_108640_000008_000002	It arose in part, no doubt, from the sentiment of love with which I was imbued; but chiefly from my conviction of the extreme sensibility of the singer.	It arose in part, no doubt, from the sentiment of love with which I was imbued; but chiefly from my conviction of the extreme sensibility of the singer.	false	385.08	393.85	20.659624
7754_108640_000008_000003	It is beyond the reach of art to endow either air or recitative with more impassioned expression than was hers.	It is beyond the reach of art to endow either air or recitative with more impassioned expression than was hers.	true	394.19	401.53	19
7754_108640_000008_000004	Her utterance of the romance in Otello--the tone with which she gave the words "Sul mio sasso," in the Capuletti--is ringing in my memory yet. Her lower tones were absolutely miraculous.	Her utterance of the romance in Otello-the tone with which she gave the words "Sul mio sasso," in the Capuletti-is ringing in my memory yet. Her lower tones were absolutely miraculous.	false	402.02	415.57	20.619524
7754_108640_000008_000005	Her voice embraced three complete octaves, extending from the contralto D to the D upper soprano, and, though sufficiently powerful to have filled the San Carlos, executed, with the minutest precision, every difficulty of vocal composition-ascending and descending scales, cadences, or fiorituri.	Her voice embraced three complete octaves, extending from the contralto D to the D upper soprano, and, though sufficiently powerful to have filled the San Carlos, executed, with the minutest precision, every difficulty of vocal composition ascending and descending scales, cadences, or fiorituri.	true	415.85	437.02	23.277925
7754_108640_000008_000006	In the final of the Somnambula, she brought about a most remarkable effect at the words:	In the final of the Somnambula, she brought about a most remarkable effect at the words:	true	437.6	443.59	21.44029
7754_108640_000009_000000	Ah! non guinge uman pensiero	Ah! non guinge uman pensiero	false	443.81	447.73	16.69105
7754_108640_000010_000000	Al contento ond 'io son piena.	Al contento o n d 'i o son piena.	false	447.95	451.81	20
7754_108640_000011_000000	Here, in imitation of Malibran, she modified the original phrase of Bellini, so as to let her voice descend to the tenor G, when, by a rapid transition, she struck the G above the treble stave, springing over an interval of two octaves.	Here, in imitation of Malibran, she modified the original phrase of Bellini, so as to let her voice descend to the tenor G, when, by a rapid transition, she struck the G above the treble stave, springing over an interval of two octaves.	true	452.69	468.79	22.145947
7754_108640_000012_000000	Upon rising from the piano after these miracles of vocal execution, she resumed her seat by my side; when I expressed to her, in terms of the deepest enthusiasm, my delight at her performance.	Upon rising from the piano after these miracles of vocal execution, she resumed her seat by my side; when I expressed to her, in terms of the deepest enthusiasm, my delight at her performance.	true	469.46	482.35	24.490097
7754_108640_000012_000001	Of my surprise I said nothing, and yet was I most unfeignedly surprised; for a certain feebleness, or rather a certain tremulous indecision of voice in ordinary conversation, had prepared me to anticipate that, in singing, she would not acquit herself with any remarkable ability.	Of my surprise I said nothing, and yet was I most unfeignedly surprised; for a certain feebleness, or rather a certain tremulous indecision of voice in ordinary conversation, had prepared me to anticipate that, in singing, she would not acquit herself with any remarkable ability.	false	483.05	501.07	24.302265
7754_108640_000013_000000	Our conversation was now long, earnest, uninterrupted, and totally unreserved.	Our conversation was now long, earnest, uninterrupted, and totally unreserved.	true	501.86	507.82	22.859373
7754_108640_000013_000001	She made me relate many of the earlier passages of my life, and listened with breathless attention to every word of the narrative.	She made me relate many of the earlier passages of my life, and listened with breathless attention to every word of the narrative.	true	508.01	515.59	20.41288
7754_108640_000013_000002	I concealed nothing--felt that I had a right to conceal nothing--from her confiding affection.	I concealed nothing-felt that I had a right to conceal nothing-from her confiding affection.	true	515.75	521.29	22.122282
7754_108640_000013_000003	Encouraged by her candor upon the delicate point of her age, I entered, with perfect frankness, not only into a detail of my many minor vices, but made full confession of those moral and even of those physical infirmities, the disclosure of which, in demanding so much higher a degree of courage, is so much surer an evidence of love. I touched upon my college indiscretions--upon my extravagances--upon my carousals--upon my debts--upon my flirtations.	Encouraged by her candor upon the delicate point of her age, I entered, with perfect frankness, not only into a detail of my many minor vices, but made full confession of those moral and even of those physical infirmities, the disclosure of which, in demanding so much higher a degree of courage, is so much surer an evidence of love. I touched upon my college indiscretions-upon my extravagances-upon my carousals-upon my debts-upon my flirtations.	true	521.78	552.22	22.83666
7754_108640_000013_000004	I even went so far as to speak of a slightly hectic cough with which, at one time, I had been troubled--of a chronic rheumatism--of a twinge of hereditary gout--and, in conclusion, of the disagreeable and inconvenient, but hitherto carefully concealed, weakness of my eyes.	I even went so far as to speak of a slightly hectic cough with which, at one time, I had been troubled-of a chronic rheumatism-of a twinge of hereditary gout-and, in conclusion, of the disagreeable and inconvenient, but hitherto carefully concealed, weakness of my eyes.	true	552.62	570.04	22.907255
7754_108640_000014_000000	"Upon this latter point," said Madame Lalande, laughingly, "you have been surely injudicious in coming to confession; for, without the confession, I take it for granted that no one would have accused you of the crime.	"Upon this latter point," said Madame Lalande, laughingly, "you have been surely injudicious in coming to confession; for, without the confession, I take it for granted that no one would have accused you of the crime.	false	571.1	583.17	21.789644
7754_108640_000014_000001	By the by," she continued, "have you any recollection-" and here I fancied that a blush, even through the gloom of the apartment, became distinctly visible upon her cheek--"have you any recollection, mon cher ami of this little ocular assistant, which now depends from my neck?"	By the by," she continued, "have you any recollection " and here I fancied that a blush, even through the gloom of the apartment, became distinctly visible upon her cheek-"have you any recollection, mon cher ami of this little ocular assistant, which now depends from my neck?"	true	583.17	600.79	23.007689
7754_108640_000015_000000	As she spoke she twirled in her fingers the identical double eye-glass which had so overwhelmed me with confusion at the opera.	As she spoke she twirled in her fingers the identical double eye glass which had so overwhelmed me with confusion at the opera.	true	601.46	609.46	22.044672
7754_108640_000016_000000	"Full well--alas! do I remember it," I exclaimed, pressing passionately the delicate hand which offered the glasses for my inspection.	"Full well-alas! do I remember it," I exclaimed, pressing passionately the delicate hand which offered the glasses for my inspection.	false	609.8	617.65	19
7754_108640_000016_000001	They formed a complex and magnificent toy, richly chased and filigreed, and gleaming with jewels, which, even in the deficient light, I could not help perceiving were of high value.	They formed a complex and magnificent toy, richly chased and filigreed, and gleaming with jewels, which, even in the deficient light, I could not help perceiving were of high value.	true	618.2	629.53	23.0881
7754_108640_000017_000000	"Eh bien! mon ami" she resumed with a certain empressment of manner that rather surprised me--"Eh bien! mon ami, you have earnestly besought of me a favor which you have been pleased to denominate priceless.	"Eh bien! mon ami" she resumed with a certain empressment of manner that rather surprised me-"Eh bien! mon ami, you have earnestly besought of me a favor which you have been pleased to denominate priceless.	true	630.44	643.99	21.729105
7754_108640_000017_000001	You have demanded of me my hand upon the morrow.	You have demanded of me my hand upon the morrow.	true	644.51	647.5	18.817677
