7789_103120_000005_000000	"A story that will just suit you, I think.	"A story that will just suit you, I think.
7789_103120_000005_000001	The hero is an Indian, and a brave one, as you will see.	The hero is an Indian, and a brave one, as you will see.
7789_103120_000006_000000	With this very short preface, Aunt Elinor began to read, in her best manner, the story of	With this very short preface, Aunt Elinor began to read, in her best manner, the story of
7789_103120_000008_000000	Long ago,--when hostile Indians haunted the great forests, and every settlement had its fort for the protection of the inhabitants,--in one of the towns on the Connecticut River, lived Parson Bain and his little son and daughter.	Long ago,--when hostile Indians haunted the great forests, and every settlement had its fort for the protection of the inhabitants,--in one of the towns on the Connecticut River, lived Parson Bain and his little son and daughter.
7789_103120_000008_000002	Even the friendly Indians, who sometimes came for food or powder, were regarded with suspicion by the people.	Even the friendly Indians, who sometimes came for food or powder, were regarded with suspicion by the people.
7789_103120_000008_000003	No man went to work without his gun near by.	No man went to work without his gun near by.
7789_103120_000008_000004	On Sundays, when they trudged to the rude meeting-house, all carried the trusty rifle on the shoulder; and while the pastor preached, a sentinel mounted guard at the door, to give warning if canoes came down the river or a dark face peered from the wood.	On Sundays, when they trudged to the rude meeting house, all carried the trusty rifle on the shoulder; and while the pastor preached, a sentinel mounted guard at the door, to give warning if canoes came down the river or a dark face peered from the wood.
7789_103120_000009_000000	One autumn night, when the first heavy rains were falling and a cold wind whistled through the valley, a knock came at the minister's door, and, opening it, he found an Indian boy, ragged, hungry, and foot-sore, who begged for food and shelter.	One autumn night, when the first heavy rains were falling and a cold wind whistled through the valley, a knock came at the minister's door, and, opening it, he found an Indian boy, ragged, hungry, and foot sore, who begged for food and shelter.
7789_103120_000009_000001	In his broken way, he told how he had fallen ill, and been left to die by enemies who had taken him from his own people, months before; how he had wandered for days till almost sinking; and that he had come now to ask for help, led by the hospitable light in the parsonage window.	In his broken way, he told how he had fallen ill, and been left to die by enemies who had taken him from his own people, months before; how he had wandered for days till almost sinking; and that he had come now to ask for help, led by the hospitable light in the parsonage window.
7789_103120_000010_000000	"Send him away, master, or harm will come of it.	"Send him away, master, or harm will come of it.
7789_103120_000010_000001	He is a spy, and we shall all be scalped by the murdering Injuns who are waiting in the wood," said old Becky, harshly; while little Eunice hid in the old servant's ample skirts, and twelve-year-old Reuben laid his hand on his cross-bow, ready to defend his sister if need be.	He is a spy, and we shall all be scalped by the murdering Injuns who are waiting in the wood," said old Becky, harshly; while little Eunice hid in the old servant's ample skirts, and twelve year old Reuben laid his hand on his cross bow, ready to defend his sister if need be.
7789_103120_000011_000000	But the good man drew the poor lad in, saying, with his friendly smile: "Shall not a Christian be as hospitable as a godless savage?	But the good man drew the poor lad in, saying, with his friendly smile: "Shall not a Christian be as hospitable as a godless savage?
7789_103120_000011_000001	Come in, child, and be fed: you sorely need rest and shelter."	Come in, child, and be fed: you sorely need rest and shelter."
7789_103120_000012_000000	Leaving his face to express the gratitude he had no words to tell, the boy sat by the comfortable fire and ate like a famished wolf, while Becky muttered her forebodings and the children eyed the dark youth at a safe distance.	Leaving his face to express the gratitude he had no words to tell, the boy sat by the comfortable fire and ate like a famished wolf, while Becky muttered her forebodings and the children eyed the dark youth at a safe distance.
7789_103120_000012_000001	Something in his pinched face, wounded foot, and eyes full of dumb pain and patience, touched the little girl's tender heart, and, yielding to a pitiful impulse, she brought her own basin of new milk and, setting it beside the stranger, ran to hide behind her father, suddenly remembering that this was one of the dreaded Indians.	Something in his pinched face, wounded foot, and eyes full of dumb pain and patience, touched the little girl's tender heart, and, yielding to a pitiful impulse, she brought her own basin of new milk and, setting it beside the stranger, ran to hide behind her father, suddenly remembering that this was one of the dreaded Indians.
7789_103120_000013_000000	"That was well done, little daughter.	"That was well done, little daughter.
7789_103120_000013_000001	Thou shalt love thine enemies, and share thy bread with the needy.	Thou shalt love thine enemies, and share thy bread with the needy.
7789_103120_000013_000002	See, he is smiling; that pleased him, and he wishes us to be his friends."	See, he is smiling; that pleased him, and he wishes us to be his friends."
7789_103120_000014_000001	Reuben hid his fears better, and resolved to watch while others slept; but was off as soon as his curly head touched the pillow, and dreamed of tomahawks and war-whoops till morning.	Reuben hid his fears better, and resolved to watch while others slept; but was off as soon as his curly head touched the pillow, and dreamed of tomahawks and war whoops till morning.
7789_103120_000015_000000	Next day, neighbors came to see the waif, and one and all advised sending him away as soon as possible, since he was doubtless a spy, as Becky said, and would bring trouble of some sort.	Next day, neighbors came to see the waif, and one and all advised sending him away as soon as possible, since he was doubtless a spy, as Becky said, and would bring trouble of some sort.
7789_103120_000016_000000	"When he is well, he may go whithersoever he will; but while he is too lame to walk, weak with hunger, and worn out with weariness, I will harbor him.	"When he is well, he may go whithersoever he will; but while he is too lame to walk, weak with hunger, and worn out with weariness, I will harbor him.
