7828_105171_000003_000000	Chapter XVI	Chapter sixteen
7828_105171_000004_000000	The Night Attack	The Night Attack
7828_105171_000006_000001	"There is something out there in the darkness."	"There is something out there in the darkness."
7828_105171_000007_000002	Hadn't you noticed it before?"	Hadn't you noticed it before?"
7828_105171_000008_000000	"Oh!" cried the girl, breathing a sigh of relief, "is it our lion?"	"Oh!" cried the girl, breathing a sigh of relief, "is it our lion?"
7828_105171_000011_000000	"He is," replied the ape-man. Smith-Oldwick fingered the grip of his pistol.	"He is," replied the ape man. Smith Oldwick fingered the grip of his pistol.
7828_105171_000012_000000	Tarzan saw the involuntary movement and shook his head.	Tarzan saw the involuntary movement and shook his head.
7828_105171_000013_000000	"Leave that thing where it is, Lieutenant," he said.	"Leave that thing where it is, Lieutenant," he said.
7828_105171_000014_000000	The officer laughed nervously.	The officer laughed nervously.
7828_105171_000014_000001	"I couldn't help it, you know, old man," he said; "instinct of self-preservation and all that."	"I couldn't help it, you know, old man," he said; "instinct of self preservation and all that."
7828_105171_000015_000000	"It would prove an instinct of self-destruction," said Tarzan. "There are at least three hunting lions out there watching us.	"It would prove an instinct of self destruction," said Tarzan. "There are at least three hunting lions out there watching us.
7828_105171_000015_000001	If we had a fire or the moon were up you would see their eyes plainly. Presently they may come after us but the chances are that they will not.	If we had a fire or the moon were up you would see their eyes plainly. Presently they may come after us but the chances are that they will not.
7828_105171_000015_000002	If you are very anxious that they should, fire your pistol and hit one of them."	If you are very anxious that they should, fire your pistol and hit one of them."
7828_105171_000016_000000	"What if they do charge?" asked the girl; "there is no means of escape."	"What if they do charge?" asked the girl; "there is no means of escape."
7828_105171_000018_000000	"What chance would we three have against them?" asked the girl.	"What chance would we three have against them?" asked the girl.
7828_105171_000019_000001	"One must die sometime," he said.	"One must die sometime," he said.
7828_105171_000019_000004	What difference does it make which it is, or whether it comes tonight or next year or in ten years? After it is over it will be all the same."	What difference does it make which it is, or whether it comes tonight or next year or in ten years? After it is over it will be all the same."
7828_105171_000020_000000	The girl shuddered.	The girl shuddered.
7828_105171_000020_000001	"Yes," she said in a dull, hopeless voice, "after it is over it will be all the same."	"Yes," she said in a dull, hopeless voice, "after it is over it will be all the same."
