7957_39967_000000_000000	Summary.	Summary.	false	0	0.06	-20
7957_39967_000000_000001	Education may be conceived either retrospectively or prospectively.	Education may be conceived either retrospectively or prospectively.	false	0.06	0.57	100
7957_39967_000000_000002	That is to say, it may be treated as process of accommodating the future to the past, or as an utilization of the past for a resource in a developing future.	That is to say, it may be treated as process of accommodating the future to the past, or as an utilization of the past for a resource in a developing future.	false	0.57	3.12	11
7957_39967_000000_000003	The former finds its standards and patterns in what has gone before.	The former finds its standards and patterns in what has gone before.	false	3.12	3.87	33.286987
7957_39967_000000_000004	The mind may be regarded as a group of contents resulting from having certain things presented.	The mind may be regarded as a group of contents resulting from having certain things presented.	false	3.87	4.14	11
7957_39967_000000_000005	In this case, the earlier presentations constitute the material to which the later are to be assimilated.	In this case, the earlier presentations constitute the material to which the later are to be assimilated.	false	4.14	4.86	11
7957_39967_000000_000006	Emphasis upon the value of the early experiences of immature beings is most important, especially because of the tendency to regard them as of little account.	Emphasis upon the value of the early experiences of immature beings is most important, especially because of the tendency to regard them as of little account.	false	4.86	7.53	21.254633
7957_39967_000000_000007	But these experiences do not consist of externally presented material, but of interaction of native activities with the environment which progressively modifies both the activities and the environment.	But these experiences do not consist of externally presented material, but of interaction of native activities with the environment which progressively modifies both the activities and the environment.	false	7.53	8.13	15
7957_39967_000000_000008	The defect of the Herbartian theory of formation through presentations consists in slighting this constant interaction and change.	The defect of the Herbartian theory of formation through presentations consists in slighting this constant interaction and change.	false	8.13	9.15	21.662733
7957_39967_000000_000009	The same principle of criticism applies to theories which find the primary subject matter of study in the cultural products--especially the literary products--of man's history.	The same principle of criticism applies to theories which find the primary subject matter of study in the cultural products-especially the literary products-of man's history.	false	9.15	12	11
7957_39967_000000_000010	Isolated from their connection with the present environment in which individuals have to act, they become a kind of rival and distracting environment. Their value lies in their use to increase the meaning of the things with which we have actively to do at the present time.	Isolated from their connection with the present environment in which individuals have to act, they become a kind of rival and distracting environment. Their value lies in their use to increase the meaning of the things with which we have actively to do at the present time.	false	12	17.4	20.197521
7957_39967_000000_000011	The idea of education advanced in these chapters is formally summed up in the idea of continuous reconstruction of experience, an idea which is marked off from education as preparation for a remote future, as unfolding, as external formation, and as recapitulation of the past.	The idea of education advanced in these chapters is formally summed up in the idea of continuous reconstruction of experience, an idea which is marked off from education as preparation for a remote future, as unfolding, as external formation, and as recapitulation of the past.	false	17.4	24.615	18.26842
7957_39967_000001_000000	Chapter Seven: The Democratic Conception in Education	Chapter Seven: The Democratic Conception in Education	true	24.615	28.39	20.718693
7957_39967_000002_000000	For the most part, save incidentally, we have hitherto been concerned with education as it may exist in any social group.	For the most part, save incidentally, we have hitherto been concerned with education as it may exist in any social group.	true	29.87	37.09	19
7957_39967_000002_000001	We have now to make explicit the differences in the spirit, material, and method of education as it operates in different types of community life.	We have now to make explicit the differences in the spirit, material, and method of education as it operates in different types of community life.	true	37.37	45.91	19
