7981_112056_000002_000000	Chapter 3 A GREAT HOUSEHOLD	Chapter three A GREAT HOUSEHOLD
7981_112056_000003_000000	VINCENT remained two years in the house of Father de Berulle, in the hope of obtaining permanent work.	VINCENT remained two years in the house of Father de Berulle, in the hope of obtaining permanent work.
7981_112056_000003_000002	"This humble priest," he predicted one day to a friend, "will render great service to the Church and will work much for God's glory."	"This humble priest," he predicted one day to a friend, "will render great service to the Church and will work much for God's glory."
7981_112056_000004_000000	St. Francis de Sales, who made Vincent's acquaintance while he was with de Berulle, was of the same opinion.	saint Francis de Sales, who made Vincent's acquaintance while he was with de Berulle, was of the same opinion.
7981_112056_000004_000001	"He will be the holiest priest of his time," he said one day as he watched him.	"He will be the holiest priest of his time," he said one day as he watched him.
7981_112056_000005_000000	At last Vincent's desire seemed about to be fulfilled.	At last Vincent's desire seemed about to be fulfilled.
7981_112056_000005_000001	A friend of de Berulle's, cure of the country parish of Clichy, near Paris, announced his intention of entering the Oratory, and at de Berulle's request chose Vincent de Paul as his successor.	A friend of de Berulle's, cure of the country parish of Clichy, near Paris, announced his intention of entering the Oratory, and at de Berulle's request chose Vincent de Paul as his successor.
7981_112056_000005_000002	Here, amidst his beloved poor, Vincent was completely happy.	Here, amidst his beloved poor, Vincent was completely happy.
7981_112056_000006_000001	Nothing less than the resignation of his beloved Clichy was now asked of him by this friend to whom he owed so much.	Nothing less than the resignation of his beloved Clichy was now asked of him by this friend to whom he owed so much.
7981_112056_000006_000003	De Berulle decided at once that Vincent de Paul was the man for the position and that, as he was evidently destined to do great work for God, it would be to his advantage to have powerful and influential friends.	De Berulle decided at once that Vincent de Paul was the man for the position and that, as he was evidently destined to do great work for God, it would be to his advantage to have powerful and influential friends.
7981_112056_000007_000000	Although the prospect of such a post filled the humble parish priest with consternation, he owed too much to de Berulle to refuse.	Although the prospect of such a post filled the humble parish priest with consternation, he owed too much to de Berulle to refuse.
7981_112056_000007_000001	Setting out from Clichy with his worldly goods on a hand-barrow, he arrived at the Oratory, from whence he was to proceed to his new abode.	Setting out from Clichy with his worldly goods on a hand barrow, he arrived at the Oratory, from whence he was to proceed to his new abode.
7981_112056_000008_000002	The de Gondi children, unfortunately, did not take after their parents, and the two boys whose education Vincent was to undertake and whose character he was to form were described by their aunt as "regular little demons." The youngest of the family, the famous, or rather infamous, Cardinal de Retz, was not yet born, but Vincent's hands were sufficiently full without him.	The de Gondi children, unfortunately, did not take after their parents, and the two boys whose education Vincent was to undertake and whose character he was to form were described by their aunt as "regular little demons." The youngest of the family, the famous, or rather infamous, Cardinal de Retz, was not yet born, but Vincent's hands were sufficiently full without him.
7981_112056_000008_000003	"I should like my children to be saints rather than great noblemen," said Madame de Gondi when she presented the boys to their tutor, but the prospect seemed remote enough.	"I should like my children to be saints rather than great noblemen," said Madame de Gondi when she presented the boys to their tutor, but the prospect seemed remote enough.
7981_112056_000009_000002	With the servants, and there were many of every grade, he was always cordial and polite, losing no chance of winning their confidence, that he might influence them for good.	With the servants, and there were many of every grade, he was always cordial and polite, losing no chance of winning their confidence, that he might influence them for good.
