7994_258960_000001_000000	CHAPTER 8	CHAPTER eight
7994_258960_000002_000000	THE RENTING CONTRACT	THE RENTING CONTRACT
7994_258960_000005_000002	The apple-tree is valued because it bears fruit, and the orchard because the trees give promise of yielding a succession of crops for years to come.	The apple tree is valued because it bears fruit, and the orchard because the trees give promise of yielding a succession of crops for years to come.
7994_258960_000005_000003	There are thus two problems of value in connection with durable goods: that of the value of a temporary use for a brief period, as for a year; and that of the value of a thing itself, the use-bearer, for a long series of years or in perpetuity.	There are thus two problems of value in connection with durable goods: that of the value of a temporary use for a brief period, as for a year; and that of the value of a thing itself, the use bearer, for a long series of years or in perpetuity.
7994_258960_000005_000004	To explain what fixes the value of the temporary use is the problem of rent; to explain what determines the value of long-continued use or of permanent control and ownership of a use-bearer is the problem of capitalization.	To explain what fixes the value of the temporary use is the problem of rent; to explain what determines the value of long continued use or of permanent control and ownership of a use bearer is the problem of capitalization.
7994_258960_000007_000006	Rental is a collective term for a number of rents.	Rental is a collective term for a number of rents.
7994_258960_000007_000007	The total yield of an estate was called its rental or rent-roll, and a list of the various sources of income, including all payments from tenants in money, produce or services, constituted its rental.	The total yield of an estate was called its rental or rent roll, and a list of the various sources of income, including all payments from tenants in money, produce or services, constituted its rental.
7994_258960_000009_000002	In the European languages the word is used more frequently in that sense.	In the European languages the word is used more frequently in that sense.
7994_258960_000010_000001	This was put in contrast with interest for money and capital, and with wages of labor.	This was put in contrast with interest for money and capital, and with wages of labor.
7994_258960_000011_000000	A wider meaning recently given to the word by many economists turns on the supposed relation of some portions of price to cost of production. Thus, frequent use is made of the expressions: consumer's rent, producer's rent, buyer's rent, seller's rent, etc.	A wider meaning recently given to the word by many economists turns on the supposed relation of some portions of price to cost of production. Thus, frequent use is made of the expressions: consumer's rent, producer's rent, buyer's rent, seller's rent, etc
7994_258960_000011_000001	In the well-founded opinion of some recent critics this usage rests on a mistaken reasoning. However, in the midst of this wide variety of usage the student must be forewarned and alert.	In the well founded opinion of some recent critics this usage rests on a mistaken reasoning. However, in the midst of this wide variety of usage the student must be forewarned and alert.
7994_258960_000011_000002	Doubtless agreement will at length be arrived at. Meantime, no economist can dictate what meaning is to be attached to the term, but one may suggest the definition that seems to him most expedient.	Doubtless agreement will at length be arrived at. Meantime, no economist can dictate what meaning is to be attached to the term, but one may suggest the definition that seems to him most expedient.
7994_258960_000011_000003	Throughout this work we shall endeavor to use the term rent uniformly and consistently as it is now to be defined.	Throughout this work we shall endeavor to use the term rent uniformly and consistently as it is now to be defined.
7994_258960_000015_000003	Every economist since Ricardo's time has recognized this, and many excuses for the inaccuracy have been given.	Every economist since Ricardo's time has recognized this, and many excuses for the inaccuracy have been given.
7994_258960_000015_000007	It is only by a fiction that most indirect agents can be regarded as indestructible.	It is only by a fiction that most indirect agents can be regarded as indestructible.
