8011_280922_000000_000000	It was the second day in Easter week.	It was the second day in Easter week.	true	28.8	31.08	24.526628
8011_280922_000000_000001	The air was warm, the sky was blue, the sun was high, warm, bright, but my soul was very gloomy.	The air was warm, the sky was blue, the sun was high, warm, bright, but my soul was very gloomy.	true	31.08	39.19	23.158558
8011_280922_000000_000002	I sauntered behind the prison barracks.	I sauntered behind the prison barracks.	true	39.62	42.01	27.38844
8011_280922_000000_000003	I stared at the palings of the stout prison fence, counting the movers; but I had no inclination to count them, though it was my habit to do so.	I stared at the palings of the stout prison fence, counting the movers; but I had no inclination to count them, though it was my habit to do so.	false	42.38	51.43	25.613598
8011_280922_000000_000004	This was the second day of the "holidays" in the prison; the convicts were not taken out to work, there were numbers of men drunk, loud abuse and quarrelling was springing up continually in every corner.	This was the second day of the "holidays" in the prison; the convicts were not taken out to work, there were numbers of men drunk, loud abuse and quarrelling was springing up continually in every corner.	true	51.89	63.79	26.049892
8011_280922_000000_000005	There were hideous, disgusting songs and card-parties installed beside the platform-beds.	There were hideous, disgusting songs and card parties installed beside the platform beds.	false	64.04	69.4	25.139147
8011_280922_000000_000006	Several of the convicts who had been sentenced by their comrades, for special violence, to be beaten till they were half dead, were lying on the platform-bed, covered with sheepskins till they should recover and come to themselves again; knives had already been drawn several times.	Several of the convicts who had been sentenced by their comrades, for special violence, to be beaten till they were half dead, were lying on the platform bed, covered with sheepskins till they should recover and come to themselves again; knives had already been drawn several times.	true	69.77	86.11	23.071177
8011_280922_000000_000007	For these two days of holiday all this had been torturing me till it made me ill.	For these two days of holiday all this had been torturing me till it made me ill.	true	86.21	91.33	22.802746
8011_280922_000000_000008	And indeed I could never endure without repulsion the noise and disorder of drunken people, and especially in this place.	And indeed I could never endure without repulsion the noise and disorder of drunken people, and especially in this place.	true	91.43	98.8	26.515419
8011_280922_000000_000009	On these days even the prison officials did not look into the prison, made no searches, did not look for vodka, understanding that they must allow even these outcasts to enjoy themselves once a year, and that things would be even worse if they did not.	On these days even the prison officials did not look into the prison, made no searches, did not look for vodka, understanding that they must allow even these outcasts to enjoy themselves once a year, and that things would be even worse if they did not.	false	98.9	112.93	25.455364
8011_280922_000000_000010	At last a sudden fury flamed up in my heart.	At last a sudden fury flamed up in my heart.	true	113.09	115.75	24.990093
8011_280922_000000_000011	A political prisoner called M. met me; he looked at me gloomily, his eyes flashed and his lips quivered.	A political prisoner called m met me; he looked at me gloomily, his eyes flashed and his lips quivered.	true	115.79	123.39	25.8747
8011_280922_000000_000012	"_Je hais ces brigands!_" he hissed to me through his teeth, and walked on.	"underscore Je hais c e s brigands!underscore" he hissed to me through his teeth, and walked on.	false	123.39	128.16	24.26902
8011_280922_000000_000013	I returned to the prison ward, though only a quarter of an hour before I had rushed out of it, as though I were crazy, when six stalwart fellows had all together flung themselves upon the drunken Tatar Gazin to suppress him and had begun beating him; they beat him stupidly, a camel might have been killed by such blows, but they knew that this Hercules was not easy to kill, and so they beat him without uneasiness.	I returned to the prison ward, though only a quarter of an hour before I had rushed out of it, as though I were crazy, when six stalwart fellows had all together flung themselves upon the drunken Tatar Gazin to suppress him and had begun beating him; they beat him stupidly, a camel might have been killed by such blows, but they knew that this Hercules was not easy to kill, and so they beat him without uneasiness.	false	128.16	152.38	24.9847
8011_280922_000000_000014	Now on returning I noticed on the bed in the furthest corner of the room Gazin lying unconscious, almost without sign of life.	Now on returning I noticed on the bed in the furthest corner of the room Gazin lying unconscious, almost without sign of life.	true	152.54	160.365	24.11303
8011_280922_000000_000015	He lay covered with a sheepskin, and every one walked round him, without speaking; though they confidently hoped that he would come to himself next morning, yet if luck was against him, maybe from a beating like that, the man would die.	He lay covered with a sheepskin, and every one walked round him, without speaking; though they confidently hoped that he would come to himself next morning, yet if luck was against him, maybe from a beating like that, the man would die.	false	160.365	173.44	25.961767
8011_280922_000000_000016	I made my way to my own place opposite the window with the iron grating, and lay on my back with my hands behind my head and my eyes shut. I liked to lie like that; a sleeping man is not molested, and meanwhile one can dream and think.	I made my way to my own place opposite the window with the iron grating, and lay on my back with my hands behind my head and my eyes shut. I liked to lie like that; a sleeping man is not molested, and meanwhile one can dream and think.	false	173.69	188.95	24.963404
8011_280922_000000_000017	But I could not dream, my heart was beating uneasily, and M.'s words, "_Je hais ces brigands!_" were echoing in my ears.	But I could not dream, my heart was beating uneasily, and m's words, "underscore Je hais c e s brigands!underscore" were echoing in my ears.	false	188.99	197.47	24.756323
8011_280922_000000_000018	But why describe my impressions; I sometimes dream even now of those times at night, and I have no dreams more agonising.	But why describe my impressions; I sometimes dream even now of those times at night, and I have no dreams more agonising.	true	197.66	205.41	24.013199
8011_280922_000000_000019	Perhaps it will be noticed that even to this day I have scarcely once spoken in print of my life in prison. _The House of the Dead_ I wrote fifteen years ago in the character of an imaginary person, a criminal who had killed his wife.	Perhaps it will be noticed that even to this day I have scarcely once spoken in print of my life in prison. underscore The House of the Dead underscore I wrote fifteen years ago in the character of an imaginary person, a criminal who had killed his wife.	false	205.41	217.95	24.901424
8011_280922_000000_000020	I may add by the way that since then, very many persons have supposed, and even now maintain, that I was sent to penal servitude for the murder of my wife.	I may add by the way that since then, very many persons have supposed, and even now maintain, that I was sent to penal servitude for the murder of my wife.	true	217.95	227.62	25.745703
8011_280922_000001_000000	Gradually I sank into forgetfulness and by degrees was lost in memories. During the whole course of my four years in prison I was continually recalling all my past, and seemed to live over again the whole of my life in recollection.	Gradually I sank into forgetfulness and by degrees was lost in memories. During the whole course of my four years in prison I was continually recalling all my past, and seemed to live over again the whole of my life in recollection.	true	227.87	241.42	25.05094
8011_280922_000001_000001	These memories rose up of themselves, it was not often that of my own will I summoned them.	These memories rose up of themselves, it was not often that of my own will I summoned them.	true	241.58	246.97	24.513313
8011_280922_000001_000002	It would begin from some point, some little thing, at times unnoticed, and then by degrees there would rise up a complete picture, some vivid and complete impression.	It would begin from some point, some little thing, at times unnoticed, and then by degrees there would rise up a complete picture, some vivid and complete impression.	true	247.25	257.44	24.780333
8011_280922_000001_000003	I used to analyse these impressions, give new features to what had happened long ago, and best of all, I used to correct it, correct it continually, that was my great amusement.	I used to analyse these impressions, give new features to what had happened long ago, and best of all, I used to correct it, correct it continually, that was my great amusement.	true	257.51	268.33	24.87772
8011_280922_000001_000004	On this occasion, I suddenly for some reason remembered an unnoticed moment in my early childhood when I was only nine years old--a moment which I should have thought I had utterly forgotten; but at that time I was particularly fond of memories of my early childhood.	On this occasion, I suddenly for some reason remembered an unnoticed moment in my early childhood when I was only nine years old-a moment which I should have thought I had utterly forgotten; but at that time I was particularly fond of memories of my early childhood.	false	268.52	282.85	22.209175
8011_280922_000001_000005	I remembered the month of August in our country house: a dry bright day but rather cold and windy; summer was waning and soon we should have to go to Moscow to be bored all the winter over French lessons, and I was so sorry to leave the country.	I remembered the month of August in our country house: a dry bright day but rather cold and windy; summer was waning and soon we should have to go to Moscow to be bored all the winter over French lessons, and I was so sorry to leave the country.	true	282.86	296.95	24.459152
8011_280922_000001_000006	I walked past the threshing-floor and, going down the ravine, I went up to the dense thicket of bushes that covered the further side of the ravine as far as the copse.	I walked past the threshing floor and, going down the ravine, I went up to the dense thicket of bushes that covered the further side of the ravine as far as the copse.	true	297.11	306.85	24.713041
8011_280922_000001_000007	And I plunged right into the midst of the bushes, and heard a peasant ploughing alone on the clearing about thirty paces away.	And I plunged right into the midst of the bushes, and heard a peasant ploughing alone on the clearing about thirty paces away.	true	307.1	313.96	23.320349
8011_280922_000001_000008	I knew that he was ploughing up the steep hill and the horse was moving with effort, and from time to time the peasant's call "come up!" floated upwards to me.	I knew that he was ploughing up the steep hill and the horse was moving with effort, and from time to time the peasant's call "come up!" floated upwards to me.	true	314.27	323.11	27.306282
8011_280922_000001_000009	I knew almost all our peasants, but I did not know which it was ploughing now, and I did not care who it was, I was absorbed in my own affairs.	I knew almost all our peasants, but I did not know which it was ploughing now, and I did not care who it was, I was absorbed in my own affairs.	true	323.3	331.48	25.091543
8011_280922_000001_000010	I was busy, too; I was breaking off switches from the nut trees to whip the frogs with.	I was busy, too; I was breaking off switches from the nut trees to whip the frogs with.	true	331.61	336.105	24.992716
8011_280922_000001_000011	Nut sticks make such fine whips, but they do not last; while birch twigs are just the opposite.	Nut sticks make such fine whips, but they do not last; while birch twigs are just the opposite.	true	336.105	341.59	27.571688
8011_280922_000001_000012	I was interested, too, in beetles and other insects; I used to collect them, some were very ornamental.	I was interested, too, in beetles and other insects; I used to collect them, some were very ornamental.	true	341.75	348.19	24.398233
8011_280922_000001_000013	I was very fond, too, of the little nimble red and yellow lizards with black spots on them, but I was afraid of snakes. Snakes, however, were much more rare than lizards.	I was very fond, too, of the little nimble red and yellow lizards with black spots on them, but I was afraid of snakes. Snakes, however, were much more rare than lizards.	false	348.44	358.24	24.60414
8011_280922_000001_000014	There were not many mushrooms there.	There were not many mushrooms there.	true	358.4	360.18	24.658108
