8028_233382_000000_000000	[274] Blackmailing appears to be the most serious risk which the invert runs.	[two hundred seventy four] Blackmailing appears to be the most serious risk which the invert runs.	false	0	2.28	22.25255
8028_233382_000000_000001	Hirschfeld states in an interesting study of blackmailing (_Jahrbuch fuer sexuelle Zwischenstufen_, April, 1913) that his experience shows that among 10,000 homosexual persons hardly one falls a victim to the law, but over 3000 are victimized by blackmailers.	Hirschfeld states in an interesting study of blackmailing (underscore Jahrbuch fuer sexuelle Zwischenstufen underscore, April, nineteen thirteen) that his experience shows that among ten thousand homosexual persons hardly one falls a victim to the law, but over three thousand are victimized by blackmailers.	false	2.28	11.13	21
8028_233382_000001_000000	[275] Krafft-Ebing would place this age not under 16, the age at which in England girls may legally consent to normal sexual intercourse (_Psychopathia Sexualis_, 1893, p. 419).	[two hundred seventy five] Krafft Ebing would place this age not under sixteen, the age at which in England girls may legally consent to normal sexual intercourse (underscore Psychopathia Sexualis underscore, eighteen ninety three, p. four hundred nineteen).	false	11.13	20.55	23.187939
8028_233382_000001_000001	It certainly should not be lower.	It certainly should not be lower.	false	20.55	21.09	4
8028_233382_000002_000000	APPENDICES.	APPENDICES.	false	21.09	21.18	-20
8028_233382_000003_000000	APPENDIX A.	APPENDIX a	true	21.18	22.305	26
8028_233382_000004_000000	HOMOSEXUALITY AMONG TRAMPS.	HOMOSEXUALITY AMONG TRAMPS.	true	22.305	24.285	22
8028_233382_000005_000000	BY "JOSIAH FLYNT."	BY "JOSIAH FLYNT."	true	24.285	25.75	26.076576
8028_233382_000006_000000	I have made a rather minute study of the tramp class in the United States, England, and Germany, but I know it best in the States.	I have made a rather minute study of the tramp class in the United States, England, and Germany, but I know it best in the States.	false	26.96	34.24	22
8028_233382_000006_000001	I have lived with the tramps there for eight consecutive months, besides passing numerous shorter periods in their company, and my acquaintance with them is nearly of ten years' standing.	I have lived with the tramps there for eight consecutive months, besides passing numerous shorter periods in their company, and my acquaintance with them is nearly of ten years' standing.	true	34.58	44.17	20
8028_233382_000006_000002	My purpose in going among them has been to learn about their life in particular and outcast life in general.	My purpose in going among them has been to learn about their life in particular and outcast life in general.	true	44.69	51.25	18
8028_233382_000006_000003	This can only be done by becoming part and parcel of its manifestations.	This can only be done by becoming part and parcel of its manifestations.	true	51.74	56.17	20
8028_233382_000007_000000	There are two kinds of tramps in the United States: out-of-works and "hoboes." The out-of-works are not genuine vagabonds; they really want work and have no sympathy with the hoboes.	There are two kinds of tramps in the United States: out of works and "hoboes." The out of works are not genuine vagabonds; they really want work and have no sympathy with the hoboes.	false	57.29	70.33	21.100836
8028_233382_000007_000001	The latter are the real tramps. They make a business of begging--a very good business too--and keep at it, as a rule, to the end of their days.	The latter are the real tramps. They make a business of begging-a very good business too-and keep at it, as a rule, to the end of their days.	true	70.7	79.51	23.879759
8028_233382_000007_000002	Whisky and _Wanderlust_, or the love of wandering, are probably the main causes of their existence; but many of them are discouraged criminals, men who have tried their hand at crime and find that they lack criminal wit.	Whisky and underscore Wanderlust underscore, or the love of wandering, are probably the main causes of their existence; but many of them are discouraged criminals, men who have tried their hand at crime and find that they lack criminal wit.	false	79.76	92.53	20
8028_233382_000007_000003	They become tramps because they find that life "on the road" comes the nearest to the life they hoped to lead. They have enough talent to do very well as beggars, better, generally speaking, then the men who have reached the road simply as drunkards; they know more about the tricks of the trade and are cleverer in thinking out schemes and stories.	They become tramps because they find that life "on the road" comes the nearest to the life they hoped to lead. They have enough talent to do very well as beggars, better, generally speaking, then the men who have reached the road simply as drunkards; they know more about the tricks of the trade and are cleverer in thinking out schemes and stories.	false	92.9	112.99	21
8028_233382_000007_000004	All genuine tramps in America are, however, pretty much the same, as far as manners and philosophy are concerned, and all are equally welcome at the "hang-out."[276] The class of society from which they are drawn is generally the very lowest of all, but there are some hoboes who have come from the very highest, and these latter are frequently as vicious and depraved as their less well-born brethren.	All genuine tramps in America are, however, pretty much the same, as far as manners and philosophy are concerned, and all are equally welcome at the "hang out."[two hundred seventy six] The class of society from which they are drawn is generally the very lowest of all, but there are some hoboes who have come from the very highest, and these latter are frequently as vicious and depraved as their less well born brethren.	false	113.27	137.83	20
8028_233382_000008_000000	Concerning sexual inversion among tramps, there is a great deal to be said, and I cannot attempt to tell all I have heard about it, but merely to give a general account of the matter.	Concerning sexual inversion among tramps, there is a great deal to be said, and I cannot attempt to tell all I have heard about it, but merely to give a general account of the matter.	true	138.83	148.45	17
