8075_279233_000000_000000	V	V	false	9.6	11.07	-20
8075_279233_000001_000000	GARDENING NOTES	GARDENING NOTES	true	11.07	12.4	24.285236
8075_279233_000002_000000	During the past month almost every paper, with the exception of the agricultural journals, has installed an agricultural department, containing short articles by Lord Northcliffe, or some one else in the office who had an unoccupied typewriter, telling the American citizen how to start and hold the interest of a small garden.	During the past month almost every paper, with the exception of the agricultural journals, has installed an agricultural department, containing short articles by Lord Northcliffe, or some one else in the office who had an unoccupied typewriter, telling the American citizen how to start and hold the interest of a small garden.	true	13.7	35.71	25.670319
8075_279233_000002_000001	The seed catalogue has become the catechism of the patriot, and, if you don't like to read the brusk, prosy directions on planting as given there, you may find the same thing done in verse in your favorite poetry magazine, or a special department in _The Plumbing Age_ under the heading "The Plumber's Garden: How and When to Plant."	The seed catalogue has become the catechism of the patriot, and, if you don't like to read the brusk, prosy directions on planting as given there, you may find the same thing done in verse in your favorite poetry magazine, or a special department in underscore The Plumbing Age underscore under the heading "The Plumber's Garden: How and When to Plant."	false	36.32	58.33	25.562254
8075_279233_000003_000000	But all of these editorial suggestions appear to be conducted by professionals for the benefit of the layman, which seems to me to be a rather one-sided way of going about the thing.	But all of these editorial suggestions appear to be conducted by professionals for the benefit of the layman, which seems to me to be a rather one sided way of going about the thing.	true	59.09	71.5	24.250187
8075_279233_000003_000001	Obviously the suggestions should come from a layman himself, in the nature of warnings to others.	Obviously the suggestions should come from a layman himself, in the nature of warnings to others.	true	72.14	79.15	20.367714
8075_279233_000004_000000	I am qualified to put forth such an article because of two weeks' service in my own back yard, doing my bit for Peter Henderson and planting all sorts of things in the ground without the slightest expectation of ever seeing anything of any of them again.	I am qualified to put forth such an article because of two weeks' service in my own back yard, doing my bit for peter Henderson and planting all sorts of things in the ground without the slightest expectation of ever seeing anything of any of them again.	true	79.73	95.53	25.645674
8075_279233_000004_000001	If, by any chance, a sprout should show itself, unmistakably the result of one of my plantings, I would be willing to be quoted as saying that Nature _is_ wonderful.	If, by any chance, a sprout should show itself, unmistakably the result of one of my plantings, I would be willing to be quoted as saying that Nature underscore is underscore wonderful.	false	95.93	108.16	23.836815
8075_279233_000004_000002	In fact, I would take it as a personal favor, and would feel that anything that I might do in the future for Nature would be little enough in return for the special work she went to all the trouble of doing for me.	In fact, I would take it as a personal favor, and would feel that anything that I might do in the future for Nature would be little enough in return for the special work she went to all the trouble of doing for me.	true	108.5	121.39	25.43236
8075_279233_000004_000003	But all of this is on condition that something of mine grows into manhood.	But all of this is on condition that something of mine grows into manhood.	true	121.7	126.22	22.905972
8075_279233_000004_000004	Otherwise, Nature can go her way and I go mine, just as we have gone up till now.	Otherwise, Nature can go her way and I go mine, just as we have gone up till now.	true	126.26	132.37	24.094
8075_279233_000005_000000	However, although I am an amateur, I shall have to adopt, in my writing, the tone of a professional, or I shall never get any one to believe what I say.	However, although I am an amateur, I shall have to adopt, in my writing, the tone of a professional, or I shall never get any one to believe what I say.	true	133.61	143.65	23.558615
8075_279233_000005_000001	If, therefore, from now on I sound a bit cold and unfriendly, you will realize that a professional agricultural writer has to have _some_ dignity about his stuff, and that beneath my rough exterior I am a pleasant enough sort of person to meet socially.	If, therefore, from now on I sound a bit cold and unfriendly, you will realize that a professional agricultural writer has to have underscore some underscore dignity about his stuff, and that beneath my rough exterior I am a pleasant enough sort of person to meet socially.	false	144.11	160.5	24.004738
8075_279233_000006_000000	_Preparing the Ground for the Garden_	underscore Preparing the Ground for the Garden underscore	false	160.5	165.24	24.894255
8075_279233_000007_000000	This is one of the most important things that the young gardener is called upon to do.	This is one of the most important things that the young gardener is called upon to do.	true	165.24	169.78	20
8075_279233_000007_000001	In fact, a great many young gardeners never do anything further.	In fact, a great many young gardeners never do anything further.	true	170.27	174.88	23.526642
8075_279233_000007_000002	Some inherited weakness, something they never realized they had before, may crop out during this process: weak back, tendency of shoulder-blades to ossification, misplacement of several important vertebræ, all are apt to be discovered for the first time during the course of one day's digging.	Some inherited weakness, something they never realized they had before, may crop out during this process: weak back, tendency of shoulder blades to ossification, misplacement of several important vertebræ, all are apt to be discovered for the first time during the course of one day's digging.	true	175.4	195.82	22.513268
8075_279233_000007_000003	If, on the morning following the first attempt to prepare the ground for planting, you are able to walk in a semi-erect position as far as the bathtub (and, without outside assistance, lift one foot into the water), you may flatter yourself that you are, joint for joint, in as perfect condition as the man in the rubber-heels advertisements.	If, on the morning following the first attempt to prepare the ground for planting, you are able to walk in a semi erect position as far as the bathtub (and, without outside assistance, lift one foot into the water), you may flatter yourself that you are, joint for joint, in as perfect condition as the man in the rubber heels advertisements.	true	196.67	220.41	25.011719
8075_279233_000008_000000	[Illustration: "If you are able to walk as far as the bathtub..."]	[Illustration: "If you are able to walk as far as the bathtub..."]	false	220.41	221.79	-20
8075_279233_000009_000000	Authorities differ as to the best way of digging.	Authorities differ as to the best way of digging.	true	221.79	225.01	23.738657
8075_279233_000009_000001	All agree that it is impossible to avoid walking about during the following week as if you were impersonating an old colored waiter with the lumbago; but there are two schools, each with its own theory, as to the less painful method.	All agree that it is impossible to avoid walking about during the following week as if you were impersonating an old colored waiter with the lumbago; but there are two schools, each with its own theory, as to the less painful method.	true	225.35	240.88	23.92193
8075_279233_000009_000002	One advocates bending over, without once raising up, until the whole row is dug.	One advocates bending over, without once raising up, until the whole row is dug.	true	241.49	247.48	20.996899
8075_279233_000009_000003	The others, of whom I must confess that I am one, feel that it is better to draw the body to a more or less erect position after each shovelful.	The others, of whom I must confess that I am one, feel that it is better to draw the body to a more or less erect position after each shovelful.	true	247.82	257.71	24.541927
8075_279233_000009_000004	In support of this contention, Greitz, the well-known authority on the muscles of the back, says on page 233 of his "Untersuchungen über Sittlichkeitsdelikte und Gesellschaftsbiologie":	In support of this contention, Greitz, the well-known authority on the muscles of the back, says on page two hundred thirty three of his "Untersuchungen über Sittlichkeitsdelikte und Gesellschaftsbiologie":	false	258.41	274.245	23.07211
8075_279233_000010_000000	"The constant tightening and relaxing of the _latissimus dorsi_ effected in raising the body as the earth is tossed aside, has a tendency to relieve the strain by distributing it equally among the _serratus posticus inferior_ and the corner of Thirty-fourth Street." He then goes on to say practically what I have said above.	"The constant tightening and relaxing of the underscore latissimus dorsi underscore effected in raising the body as the earth is tossed aside, has a tendency to relieve the strain by distributing it equally among the underscore serratus posticus inferior underscore and the corner of Thirty fourth Street." He then goes on to say practically what I have said above.	false	274.245	296.35	24.150131
8075_279233_000011_000000	The necessity for work of such a strenuous nature in the mere preliminaries of the process of planting a garden is due to the fact that the average back-yard has, up till the present time, been behaving less like a garden than anything else in the world.	The necessity for work of such a strenuous nature in the mere preliminaries of the process of planting a garden is due to the fact that the average back yard has, up till the present time, been behaving less like a garden than anything else in the world.	true	297.56	315.58	23.684013
8075_279233_000011_000001	You might think that a back-yard, possessed of an ordinary amount of decency and civic-pride would, at some time during its career, have said to itself:	You might think that a back yard, possessed of an ordinary amount of decency and civic pride would, at some time during its career, have said to itself:	true	316.13	326.5	24.039707
8075_279233_000012_000000	"Now look here!	"Now look here!	true	326.63	327.61	32.217476
