8142_110520_000000_000000	[Illustration]	[Illustration]	false	0	0.12	-20
8142_110520_000001_000000	Then he looked down and saw that the blood streamed so from the shoe that her white stockings were quite red.	Then he looked down and saw that the blood streamed so from the shoe that her white stockings were quite red.	false	0.12	3	25.725897
8142_110520_000001_000001	So he turned his horse and brought her back again also.	So he turned his horse and brought her back again also.	false	3	4.5	21.665174
8142_110520_000001_000002	"This is not the true bride," said he to the father; "have you no other daughters?" "No," said he; "there is only a little dirty Cinderella here, the child of my first wife; I am sure she cannot be the bride." However, the prince told him to send her.	"This is not the true bride," said he to the father; "have you no other daughters?" "No," said he; "there is only a little dirty Cinderella here, the child of my first wife; I am sure she cannot be the bride." However, the prince told him to send her.	false	4.5	7.26	22.306486
8142_110520_000001_000003	But the mother said, "No, no, she is much too dirty, she will not dare to show herself;" still the prince would have her come.	But the mother said, "No, no, she is much too dirty, she will not dare to show herself;" still the prince would have her come.	false	7.26	8.76	23
8142_110520_000001_000004	And she first washed her face and hands, and then went in and curtsied to him, and he handed to her the golden slipper.	And she first washed her face and hands, and then went in and curtsied to him, and he handed to her the golden slipper.	false	8.76	10.08	27.714367
8142_110520_000002_000000	Then she took her clumsy shoe off her left foot and put on the golden slipper; and it fitted her as if it had been made for her.	Then she took her clumsy shoe off her left foot and put on the golden slipper; and it fitted her as if it had been made for her.	false	10.08	16.29	22.998596
8142_110520_000002_000001	And when the Prince drew near and looked at her face he knew her, and said, "This is the right bride."	And when the Prince drew near and looked at her face he knew her, and said, "This is the right bride."	false	16.29	17.61	23.932867
8142_110520_000003_000000	But the mother and both the sisters were frightened and turned pale with anger as he took Cinderella on his horse, and rode away with her. And when they came to the hazel tree, the white dove sang--	But the mother and both the sisters were frightened and turned pale with anger as he took Cinderella on his horse, and rode away with her. And when they came to the hazel tree, the white dove sang-	false	17.61	19.11	28.67676
8142_110520_000004_000000	"Home! home!	"Home! home!	false	19.11	19.17	-20
8142_110520_000004_000001	look at the shoe! Princess! the shoe was made for you! Prince! prince! take home thy bride. For she is the true one that sits by thy side!"	look at the shoe! Princess! the shoe was made for you! Prince! prince! take home thy bride. For she is the true one that sits by thy side!"	false	19.17	20.04	12
8142_110520_000005_000000	And when the dove had done its song, it came flying and perched upon her shoulder, and so went home with her.	And when the dove had done its song, it came flying and perched upon her shoulder, and so went home with her.	false	20.04	22.02	24.172493
8142_110520_000006_000000	PRINCESS GOLDENHAIR	PRINCESS g o l d e n h a i r	false	22.02	26.25	21.852541
8142_110520_000007_000000	There was once a King's daughter who was the most beautiful thing in the world, and as her hair was fair and reached to her feet she was called the Princess Goldenhair.	There was once a King's daughter who was the most beautiful thing in the world, and as her hair was fair and reached to her feet she was called the Princess Goldenhair.	true	26.25	36.19	23.591217
