8152_258993_000000_000000	CHAPTER 41	CHAPTER forty one	false	0.57	26.31	20.443737
8152_258993_000001_000000	REACTION OF CONSUMPTION ON PRODUCTION	REACTION OF CONSUMPTION ON PRODUCTION	true	26.31	28.38	20
8152_258993_000002_000000	Sec. I. REACTION UPON MATERIAL PRODUCTIVE AGENTS	Sec. i REACTION UPON MATERIAL PRODUCTIVE AGENTS	false	28.38	32.64	20.857887
8152_258993_000003_000000	[Sidenote: Essential mark of the consumption of goods]	[Sidenote: Essential mark of the consumption of goods]	false	32.64	33.51	14
8152_258993_000004_000000	1.	one.	true	33.51	34.08	23.03465
8152_258993_000004_000001	_Economic consumption is the enjoyment of the utilities which wealth is capable of affording._ All wealth looks toward consumption.	underscore Economic consumption is the enjoyment of the utilities which wealth is capable of affording.underscore All wealth looks toward consumption.	false	34.08	41.68	20.828325
8152_258993_000004_000002	To take away the prospect of the enjoyment of goods is to take away all their value.	To take away the prospect of the enjoyment of goods is to take away all their value.	true	42.11	46.63	22
8152_258993_000004_000003	Consumption involves generally the using up of a thing.	Consumption involves generally the using up of a thing.	true	46.73	49.69	17.42484
8152_258993_000004_000004	Food is consumed quickly, clothing more slowly, and houses wear out after many years.	Food is consumed quickly, clothing more slowly, and houses wear out after many years.	true	49.97	55.99	21.570908
8152_258993_000004_000005	The using up is, in some cases, due to the forces of nature, and is not hastened by enjoyment.	The using up is, in some cases, due to the forces of nature, and is not hastened by enjoyment.	true	56.69	62.5	21.826689
8152_258993_000004_000006	A house goes to ruin more rapidly if uninhabited than with a careful tenant; clothing is destroyed more quickly by moths than by wear.	A house goes to ruin more rapidly if uninhabited than with a careful tenant; clothing is destroyed more quickly by moths than by wear.	true	63.14	71.59	21.58452
8152_258993_000004_000007	The use of many goods that give esthetic pleasures, as art, painting, sculpture, and the enjoyment of fine scenery or of beautiful building sites, does not destroy the things that afford the pleasure.	The use of many goods that give esthetic pleasures, as art, painting, sculpture, and the enjoyment of fine scenery or of beautiful building sites, does not destroy the things that afford the pleasure.	false	72.44	83.64	20.899513
8152_258993_000004_000008	The idea that all value originates in labor has led to false views on this question.	The idea that all value originates in labor has led to false views on this question.	true	83.64	88.69	19.468521
