8183_118119_000000_000000	FROM VIRGINIA, MARYLAND AND DELAWARE.	FROM VIRGINIA, MARYLAND AND DELAWARE.	true	23.22	26.53	21.289776
8183_118119_000001_000000	ARCHER BARLOW, ALIAS EMIT ROBINS.	ARCHER BARLOW, ALIAS EMIT ROBINS.	true	27.17	30.55	27.858728
8183_118119_000002_000000	This passenger arrived from Norfolk, Va. in 1853.	This passenger arrived from norfolk virginia in eighteen fifty three.	true	31.31	35.68	23.091536
8183_118119_000002_000001	For the last four years previous to escaping, he had been under the yoke of Dr. George Wilson.	For the last four years previous to escaping, he had been under the yoke of dr George Wilson.	true	36.14	42.64	24.452232
8183_118119_000002_000002	Archer declared that he had been "very badly treated" by the Doctor, which he urged as his reason for leaving.	Archer declared that he had been "very badly treated" by the Doctor, which he urged as his reason for leaving.	true	43.1	49.63	25.79357
8183_118119_000002_000003	True, the doctor had been good enough to allow him to hire his time, for which he required Archer to pay the moderate sum of $120 per annum.	True, the doctor had been good enough to allow him to hire his time, for which he required Archer to pay the moderate sum of one hundred twenty dollars per annum.	false	50	59.68	23.093359
8183_118119_000002_000004	As Archer had been "sickly" most of the time, during the last year, he complained that there was "no reduction" in his hire on this account.	As Archer had been "sickly" most of the time, during the last year, he complained that there was "no reduction" in his hire on this account.	true	60.17	68.38	25.719685
8183_118119_000002_000005	Upon reflection, therefore, Archer thought, if he had justice done him, he would be in possession of this "one hundred and twenty" himself, and all his other rights, instead of having to toil for another without pay; so he looked seriously into the matter of master and slave, and pretty soon resolved, that if others chose to make no effort to get away, for himself he would never be contented, until he was free.	Upon reflection, therefore, Archer thought, if he had justice done him, he would be in possession of this "one hundred and twenty" himself, and all his other rights, instead of having to toil for another without pay; so he looked seriously into the matter of master and slave, and pretty soon resolved, that if others chose to make no effort to get away, for himself he would never be contented, until he was free.	true	68.75	95.29	23.578924
8183_118119_000002_000006	When a slave reached this decision, he was in a very hopeful state.	When a slave reached this decision, he was in a very hopeful state.	true	95.84	100.42	21.977074
8183_118119_000002_000007	He was near the Underground Rail Road, and was sure to find it, sooner or later.	He was near the Underground Rail Road, and was sure to find it, sooner or later.	true	100.55	104.74	20
8183_118119_000002_000008	At this thoughtful period, Archer was thirty-one years of age, a man of medium size, and belonged to the two leading branches of southern humanity, _i.e._, he _was_ half white and half colored--a dark mulatto.	At this thoughtful period, Archer was thirty one years of age, a man of medium size, and belonged to the two leading branches of southern humanity, underscore i e underscore, he underscore was underscore half white and half colored-a dark mulatto.	false	105.29	119.65	23.789299
8183_118119_000002_000009	His arrival in Philadelphia, per one of the Richmond steamers, was greeted with joy by the Vigilance Committee, who extended to him the usual aid and care, and forwarded him on to freedom.	His arrival in Philadelphia, per one of the Richmond steamers, was greeted with joy by the Vigilance Committee, who extended to him the usual aid and care, and forwarded him on to freedom.	true	119.84	132.31	24.03283
8183_118119_000002_000010	For a number of years, he has been a citizen of Boston.	For a number of years, he has been a citizen of Boston.	true	132.41	135.82	23.344328
8183_118119_000003_000000	SAMUEL BUSH, ALIAS WILLIAM OBLEBEE.	SAMUEL BUSH, ALIAS WILLIAM o b l e b e e.	false	136.16	140.25	22.951616
8183_118119_000004_000000	This "piece of property" fled in the fall of 1853.	This "piece of property" fled in the fall of eighteen fifty three.	true	140.25	143.86	32
8183_118119_000004_000001	As a specimen of this article of commerce, he evinced considerable intelligence.	As a specimen of this article of commerce, he evinced considerable intelligence.	true	144.29	149.11	24.899551
8183_118119_000004_000002	He was a man of dark color, although not totally free from the admixture of the "superior" southern blood in his veins; in stature, he was only ordinary.	He was a man of dark color, although not totally free from the admixture of the "superior" southern blood in his veins; in stature, he was only ordinary.	true	149.33	158.83	24.335674
8183_118119_000004_000003	For leaving, he gave the following reasons: "I found that I was working for my master, for his advantage, and when I was sick, I had to pay just as much as if I were well--$7 a month.	For leaving, he gave the following reasons: "I found that I was working for my master, for his advantage, and when I was sick, I had to pay just as much as if I were well-seven dollars a month.	true	159.23	171.64	21.560179
8183_118119_000004_000004	But my master was cross, and said that he intended to sell me--to do better by me another year.	But my master was cross, and said that he intended to sell me-to do better by me another year.	true	171.8	178.03	24.488237
8183_118119_000004_000005	Times grew worse and worse, constantly.	Times grew worse and worse, constantly.	true	178.52	181.03	19.7113
8183_118119_000004_000006	I thought, as I had heard, that if I could raise thirty dollars I could come away." He at once saw the value of money.	I thought, as I had heard, that if I could raise thirty dollars I could come away." He at once saw the value of money.	false	181.19	188.74	23.592585
8183_118119_000004_000007	To his mind it meant liberty from that moment. Thenceforth he decided to treasure up every dollar he could get hold of until he could accumulate at least enough to get out of "Old Virginia." He was a married man, and thought he had a wife and one child, but on reflection, he found out that they did not actually belong to him, but to a carpenter, by the name of Bailey.	To his mind it meant liberty from that moment. Thenceforth he decided to treasure up every dollar he could get hold of until he could accumulate at least enough to get out of "Old Virginia." He was a married man, and thought he had a wife and one child, but on reflection, he found out that they did not actually belong to him, but to a carpenter, by the name of Bailey.	false	189.02	211.66	24.216213
8183_118119_000004_000008	The man whom Samuel was compelled to call master was named Hoyle.	The man whom Samuel was compelled to call master was named Hoyle.	true	211.91	215.95	23
8183_118119_000005_000000	The Committee's interview with Samuel was quite satisfactory, and they cheerfully accorded to him brotherly kindness and material aid at the same time.	The Committee's interview with Samuel was quite satisfactory, and they cheerfully accorded to him brotherly kindness and material aid at the same time.	true	216.5	225.31	24.404388
8183_118119_000006_000000	JOHN SPENCER AND HIS SON WILLIAM, AND JAMES ALBERT.	john SPENCER AND HIS SON WILLIAM, AND james ALBERT.	true	225.53	229.81	20.497126
