8183_282977_000003_000000	John fled from under the yoke of Dr. Joshua R. Nelson.	john fled from under the yoke of dr joshua r Nelson.
8183_282977_000003_000001	Until within two years of "Jack's" flight, the doctor "had been a very fine man," with whom Jack found no fault.	Until within two years of "Jack's" flight, the doctor "had been a very fine man," with whom Jack found no fault.
8183_282977_000003_000002	But suddenly his mode of treatment changed; he became very severe.	But suddenly his mode of treatment changed; he became very severe.
8183_282977_000003_000003	Nothing that Jack could do, met the approval of the doctor.	Nothing that Jack could do, met the approval of the doctor.
8183_282977_000003_000004	Jack was constantly looked upon with suspicion.	Jack was constantly looked upon with suspicion.
8183_282977_000004_000000	The very day that Jack fled, four men approached him (the doctor one of them), with line in hand; that sign was well understood, and Jack resolved that they should not get within tying distance of him.	The very day that Jack fled, four men approached him (the doctor one of them), with line in hand; that sign was well understood, and Jack resolved that they should not get within tying distance of him.
8183_282977_000004_000001	"I dodged them," said Jack.	"I dodged them," said Jack.
8183_282977_000004_000002	Never afterwards was Jack seen in that part of the country, at least as long as a fetter remained.	Never afterwards was Jack seen in that part of the country, at least as long as a fetter remained.
8183_282977_000005_000000	The day that he "dodged" he also took the Underground Rail Road, and although ignorant of letters, he battled his way out of Maryland, and succeeded in reaching Pennsylvania and the Committee.	The day that he "dodged" he also took the Underground Rail Road, and although ignorant of letters, he battled his way out of Maryland, and succeeded in reaching Pennsylvania and the Committee.
8183_282977_000006_000001	His master evidently supposed that Jack would be mean enough to wish to see his wife, even in a free State, and that no slave, with such an unnatural desire, could be tolerated or trusted, that the sooner such "articles" were turned into cash the better.	His master evidently supposed that Jack would be mean enough to wish to see his wife, even in a free State, and that no slave, with such an unnatural desire, could be tolerated or trusted, that the sooner such "articles" were turned into cash the better.
8183_282977_000006_000003	In defense of his course, Jack referred to the treatment which he had received while in servitude under his old master, in something like the following words: "I served under my young master's father, thirty-five years, and from him received kind treatment.	In defense of his course, Jack referred to the treatment which he had received while in servitude under his old master, in something like the following words: "I served under my young master's father, thirty five years, and from him received kind treatment.
8183_282977_000006_000004	I was his head man on the place, and had everything to look after."	I was his head man on the place, and had everything to look after."
8183_282977_000007_000000	ARRIVAL FROM MARYLAND, 1857.	ARRIVAL FROM MARYLAND, eighteen fifty seven.
8183_282977_000009_000000	Although these three passengers arrived in Philadelphia at the same time, they did not come from Maryland together.	Although these three passengers arrived in Philadelphia at the same time, they did not come from Maryland together.
8183_282977_000011_000000	Susan Jane came from New Market, near Georgetown Cross-Roads, where she had been held to unrequited labor by Hezekiah Masten, a farmer.	Susan Jane came from New Market, near Georgetown Cross Roads, where she had been held to unrequited labor by Hezekiah Masten, a farmer.
8183_282977_000011_000003	Whether they ever heard what became of their daughter is not known.	Whether they ever heard what became of their daughter is not known.
8183_282977_000012_000000	Amarian was twenty-one years of age, a person of light color, medium size, with a prepossessing countenance and smart; she could read, write, and play on the piano.	Amarian was twenty one years of age, a person of light color, medium size, with a prepossessing countenance and smart; she could read, write, and play on the piano.
8183_282977_000012_000001	From a child, Amarian had been owned by Mrs. Elizabeth Key Scott, who resided near Braceville, but at the time of her flight she was living at Westminster, in the family of a man named "Boile," said to be the clerk of the court.	From a child, Amarian had been owned by mrs Elizabeth Key Scott, who resided near Braceville, but at the time of her flight she was living at Westminster, in the family of a man named "Boile," said to be the clerk of the court.
8183_282977_000012_000002	In reference to treatment, Amarian said: "I have always been used very well; have had it good all my life, etc." This was a remarkable case, and, at first, somewhat staggered the faith of the Committee, but they could not dispute her testimony, consequently they gave her the benefit of the doubt.	In reference to treatment, Amarian said: "I have always been used very well; have had it good all my life, etc" This was a remarkable case, and, at first, somewhat staggered the faith of the Committee, but they could not dispute her testimony, consequently they gave her the benefit of the doubt.
8183_282977_000012_000003	She spoke of having a mother living in Hagerstown, by the name of Amarian Ballad, also three sisters who were slaves, and two who were free; she also had a brother in chains in Mississippi.	She spoke of having a mother living in Hagerstown, by the name of Amarian Ballad, also three sisters who were slaves, and two who were free; she also had a brother in chains in Mississippi.
8183_282977_000013_000000	ARRIVAL FROM NORFOLK, VA. 1857.	ARRIVAL FROM norfolk virginia eighteen fifty seven.
8183_282977_000014_000000	WILLIAM CARNEY AND ANDREW ALLEN.	WILLIAM CARNEY AND ANDREW ALLEN.
8183_282977_000016_000000	He belonged to the estate of the late Mrs. Sarah Twyne, who bore the reputation of being a lady of wealth, and owned one hundred and twelve slaves.	He belonged to the estate of the late mrs Sarah Twyne, who bore the reputation of being a lady of wealth, and owned one hundred and twelve slaves.
