8396_240992_000000_000000	XI.	XI.	false	15.36	15.645	-2
8396_240992_000000_000001	THE RESURRECTION.	THE RESURRECTION.	true	15.645	16.72	25.065536
8396_240992_000001_000000	The works of the Lord he himself represents as given him of the Father: it matters little whether we speak of his resurrection as a miracle wrought by himself, or wrought in him by the Father.	The works of the Lord he himself represents as given him of the Father: it matters little whether we speak of his resurrection as a miracle wrought by himself, or wrought in him by the Father.	true	17.63	27.16	19
8396_240992_000001_000001	If he was one with the Father, the question cannot be argued, seeing that Jesus apart from the Father is not a conceivable idea.	If he was one with the Father, the question cannot be argued, seeing that Jesus apart from the Father is not a conceivable idea.	true	27.53	34.24	22.544712
8396_240992_000001_000002	It is only natural that he who had power to call from the grave the body which had lain there for four days, should have power over the body he had himself laid down, to take it again with reanimating possession.	It is only natural that he who had power to call from the grave the body which had lain there for four days, should have power over the body he had himself laid down, to take it again with reanimating possession.	true	34.64	46.27	19.868755
8396_240992_000001_000003	For distinctly do I hold that he took again the same body in which he had walked about on the earth, suffered, and yielded unto death.	For distinctly do I hold that he took again the same body in which he had walked about on the earth, suffered, and yielded unto death.	false	46.43	53.47	21.196985
8396_240992_000001_000004	In the same body--not merely the same form, in which he had taught them, he appeared again to his disciples, to give them the final consolations of a visible presence, before departing for the sake of a yet higher presence in the spirit of truth, a presence no longer limited by even the highest forms of the truth.	In the same body-not merely the same form, in which he had taught them, he appeared again to his disciples, to give them the final consolations of a visible presence, before departing for the sake of a yet higher presence in the spirit of truth, a presence no longer limited by even the highest forms of the truth.	false	53.51	70.6	21.46285
8396_240992_000002_000000	It is not surprising that the records of such a marvel, grounded upon the testimony of men and women bewildered first with grief, and next all but distracted with the sudden inburst of a gladness too great for that equanimity which is indispensable to perfect observation, should not altogether correspond in the minutiae of detail.	It is not surprising that the records of such a marvel, grounded upon the testimony of men and women bewildered first with grief, and next all but distracted with the sudden inburst of a gladness too great for that equanimity which is indispensable to perfect observation, should not altogether correspond in the minutiae of detail.	false	71.03	88.72	23.40505
8396_240992_000002_000001	All knew that the Lord had risen indeed: what matter whether some of them saw one or two angels in the tomb?	All knew that the Lord had risen indeed: what matter whether some of them saw one or two angels in the tomb?	true	88.97	95.32	20.315506
8396_240992_000002_000002	The first who came saw one angel outside and another inside the sepulchre.	The first who came saw one angel outside and another inside the sepulchre.	true	95.54	99.91	21.02348
8396_240992_000002_000003	One at a different time saw two inside.	One at a different time saw two inside.	true	100.22	102.46	23.724413
8396_240992_000002_000004	What wonder then that one of the records should say of them all, that they saw two angels?	What wonder then that one of the records should say of them all, that they saw two angels?	true	102.8	107.5	21.35068
8396_240992_000002_000005	I do not care to set myself to the reconciliation of the differing reports.	I do not care to set myself to the reconciliation of the differing reports.	true	107.66	111.46	23
8396_240992_000002_000006	Their trifling disagreement is to me even valuable from its truth to our human nature.	Their trifling disagreement is to me even valuable from its truth to our human nature.	true	111.68	116.05	20.8839
