8410_278220_000000_000000	CHAPTER XXIX.	CHAPTER twenty nine.	false	0.93	23.47	25.822495
8410_278220_000001_000000	GOING AWAY.	GOING AWAY.	true	23.57	24.79	22.072676
8410_278220_000002_000000	At one o'clock on the appointed Thursday morning, Mr. Dunbar presented himself in the diamond-merchant's office.	At one o'clock on the appointed Thursday morning, mr Dunbar presented himself in the diamond merchant's office.	true	26.51	32.59	25.149166
8410_278220_000002_000001	Henry Dunbar was not alone.	Henry Dunbar was not alone.	true	33.02	34.87	21.610228
8410_278220_000002_000002	He had called in St. Gundolph Lane, and asked Mr. Balderby to go with him to inspect the diamonds he had bought for his daughter.	He had called in st Gundolph Lane, and asked mr Balderby to go with him to inspect the diamonds he had bought for his daughter.	false	34.97	40.78	22
8410_278220_000003_000000	The junior partner opened his eyes to the widest extent as the brilliants were displayed before him, and declared that big senior's generosity was something more than princely.	The junior partner opened his eyes to the widest extent as the brilliants were displayed before him, and declared that big senior's generosity was something more than princely.	false	41.78	50.23	22
8410_278220_000004_000000	But perhaps Mr. Balderby did not feel so entirely delighted two or three hours afterwards, when Mr. Isaac Hartgold presented himself before the counter in St. Gundolph Lane, whence he departed some time afterwards carrying away with him seventy-five thousand eight hundred pounds in Bank-of-England notes.	But perhaps mr Balderby did not feel so entirely delighted two or three hours afterwards, when mr Isaac Hartgold presented himself before the counter in st Gundolph Lane, whence he departed some time afterwards carrying away with him seventy five thousand eight hundred pounds in Bank of England notes.	false	51.41	67.87	22
8410_278220_000005_000000	Henry Dunbar walked away from the neighbourhood of Holborn with his coat buttoned tightly across his broad chest, and nearly eighty thousand pounds' worth of property hidden away in his breast-pockets.	Henry Dunbar walked away from the neighbourhood of Holborn with his coat buttoned tightly across his broad chest, and nearly eighty thousand pounds' worth of property hidden away in his breast pockets.	false	69.23	78.37	25
8410_278220_000005_000001	He did not go straight back to the Clarendon, but pierced his way across Smithfield, and into a busy smoky street, where he stopped by-and-by at a dingy-looking currier's shop.	He did not go straight back to the Clarendon, but pierced his way across Smithfield, and into a busy smoky street, where he stopped by and by at a dingy looking currier's shop.	true	78.83	87.79	28.234457
8410_278220_000006_000000	He went in and selected a couple of chamois skins, very thick and strong.	He went in and selected a couple of chamois skins, very thick and strong.	true	88.52	92.5	27.464718
8410_278220_000006_000001	At another shop he bought some large needles, half-a-dozen skeins of stout waxed thread, a pair of large scissors, a couple of strong steel buckles, and a tailor's thimble.	At another shop he bought some large needles, half a dozen skeins of stout waxed thread, a pair of large scissors, a couple of strong steel buckles, and a tailor's thimble.	true	92.69	102.19	25.748877
