8459_285173_000000_000000	"DEAR B.........	"DEAR b........
8459_285173_000000_000001	Believing only a portion of my former volume to be worthy a second edition-that small portion I thought it as well to include in the present book as to republish by itself.	Believing only a portion of my former volume to be worthy a second edition that small portion I thought it as well to include in the present book as to republish by itself.
8459_285173_000000_000002	I have therefore herein combined 'Al Aaraaf' and 'Tamerlane' with other poems hitherto unprinted.	I have therefore herein combined 'Al Aaraaf' and 'Tamerlane' with other poems hitherto unprinted.
8459_285173_000001_000000	"It has been said that a good critique on a poem may be written by one who is no poet himself.	"It has been said that a good critique on a poem may be written by one who is no poet himself.
8459_285173_000001_000002	On this account, and because there are but few B-'s in the world, I would be as much ashamed of the world's good opinion as proud of your own.	On this account, and because there are but few B 's in the world, I would be as much ashamed of the world's good opinion as proud of your own.
8459_285173_000001_000003	Another than yourself might here observe, 'Shakespeare is in possession of the world's good opinion, and yet Shakespeare is the greatest of poets.	Another than yourself might here observe, 'Shakespeare is in possession of the world's good opinion, and yet Shakespeare is the greatest of poets.
8459_285173_000001_000005	A fool, for example, thinks Shakespeare a great poet-yet the fool has never read Shakespeare.	A fool, for example, thinks Shakespeare a great poet yet the fool has never read Shakespeare.
8459_285173_000002_000000	"You are aware of the great barrier in the path of an American writer. He is read, if at all, in preference to the combined and established wit of the world.	"You are aware of the great barrier in the path of an American writer. He is read, if at all, in preference to the combined and established wit of the world.
8459_285173_000002_000002	Besides, one might suppose that books, like their authors, improve by travel-their having crossed the sea is, with us, so great a distinction.	Besides, one might suppose that books, like their authors, improve by travel their having crossed the sea is, with us, so great a distinction.
8459_285173_000002_000003	Our antiquaries abandon time for distance; our very fops glance from the binding to the bottom of the title-page, where the mystic characters which spell London, Paris, or Genoa, are precisely so many letters of recommendation.	Our antiquaries abandon time for distance; our very fops glance from the binding to the bottom of the title page, where the mystic characters which spell London, Paris, or Genoa, are precisely so many letters of recommendation.
8459_285173_000003_000001	I think the notion that no poet can form a correct estimate of his own writings is another.	I think the notion that no poet can form a correct estimate of his own writings is another.
8459_285173_000003_000002	I remarked before that in proportion to the poetical talent would be the justice of a critique upon poetry.	I remarked before that in proportion to the poetical talent would be the justice of a critique upon poetry.
8459_285173_000003_000005	Perhaps an inadvertent word has descended to posterity.	Perhaps an inadvertent word has descended to posterity.
8459_285173_000003_000006	But, in fact, the 'Paradise Regained' is little, if at all, inferior to the 'Paradise Lost,' and is only supposed so to be because men do not like epics, whatever they may say to the contrary, and, reading those of Milton in their natural order, are too much wearied with the first to derive any pleasure from the second.	But, in fact, the 'Paradise Regained' is little, if at all, inferior to the 'Paradise Lost,' and is only supposed so to be because men do not like epics, whatever they may say to the contrary, and, reading those of Milton in their natural order, are too much wearied with the first to derive any pleasure from the second.
8459_285173_000004_000000	"I dare say Milton preferred 'Comus' to either-. if so-justly.	"I dare say Milton preferred 'Comus' to either . if so justly.
8459_285173_000005_000000	"As I am speaking of poetry, it will not be amiss to touch slightly upon the most singular heresy in its modern history-the heresy of what is called, very foolishly, the Lake School.	"As I am speaking of poetry, it will not be amiss to touch slightly upon the most singular heresy in its modern history the heresy of what is called, very foolishly, the Lake School.
8459_285173_000005_000001	Some years ago I might have been induced, by an occasion like the present, to attempt a formal refutation of their doctrine; at present it would be a work of supererogation.	Some years ago I might have been induced, by an occasion like the present, to attempt a formal refutation of their doctrine; at present it would be a work of supererogation.
8459_285173_000006_000002	Therefore the end of instruction should be happiness; and happiness is another name for pleasure;-therefore the end of instruction should be pleasure: yet we see the above-mentioned opinion implies precisely the reverse.	Therefore the end of instruction should be happiness; and happiness is another name for pleasure;-therefore the end of instruction should be pleasure: yet we see the above mentioned opinion implies precisely the reverse.
8459_285173_000008_000001	In such case I should no doubt be tempted to think of the devil in 'Melmoth.' who labors indefatigably, through three octavo volumes, to accomplish the destruction of one or two souls, while any common devil would have demolished one or two thousand.	In such case I should no doubt be tempted to think of the devil in 'Melmoth.' who labors indefatigably, through three octavo volumes, to accomplish the destruction of one or two souls, while any common devil would have demolished one or two thousand.
8459_285173_000009_000000	"Against the subtleties which would make poetry a study-not a passion-it becomes the metaphysician to reason-but the poet to protest. Yet Wordsworth and Coleridge are men in years; the one imbued in contemplation from his childhood; the other a giant in intellect and learning.	"Against the subtleties which would make poetry a study not a passion it becomes the metaphysician to reason but the poet to protest. Yet Wordsworth and Coleridge are men in years; the one imbued in contemplation from his childhood; the other a giant in intellect and learning.
8459_285173_000009_000001	The diffidence, then, with which I venture to dispute their authority would be overwhelming did I not feel, from the bottom of my heart, that learning has little to do with the imagination-intellect with the passions-or age with poetry.	The diffidence, then, with which I venture to dispute their authority would be overwhelming did I not feel, from the bottom of my heart, that learning has little to do with the imagination intellect with the passions or age with poetry.
8459_285173_000010_000000	"'Trifles, like straws, upon the surface flow; He who would search for pearls must dive below,'	"'Trifles, like straws, upon the surface flow; He who would search for pearls must dive below,'
8459_285173_000011_000001	As regards the greater truths, men oftener err by seeking them at the bottom than at the top; Truth lies in the huge abysses where wisdom is sought-not in the palpable palaces where she is found.	As regards the greater truths, men oftener err by seeking them at the bottom than at the top; Truth lies in the huge abysses where wisdom is sought not in the palpable palaces where she is found.
8459_285173_000012_000002	He who regards it directly and intensely sees, it is true, the star, but it is the star without a ray-while he who surveys it less inquisitively is conscious of all for which the star is useful to us below-its brilliancy and its beauty.	He who regards it directly and intensely sees, it is true, the star, but it is the star without a ray while he who surveys it less inquisitively is conscious of all for which the star is useful to us below its brilliancy and its beauty.
8459_285173_000013_000000	"As to Wordsworth, I have no faith in him.	"As to Wordsworth, I have no faith in him.
8459_285173_000014_000000	"He was to blame in wearing away his youth in contemplation with the end of poetizing in his manhood.	"He was to blame in wearing away his youth in contemplation with the end of poetizing in his manhood.
8459_285173_000014_000001	With the increase of his judgment the light which should make it apparent has faded away.	With the increase of his judgment the light which should make it apparent has faded away.
8459_285173_000014_000002	His judgment consequently is too correct.	His judgment consequently is too correct.
8459_285173_000014_000003	This may not be understood-but the old Goths of Germany would have understood it, who used to debate matters of importance to their State twice, once when drunk, and once when sober-sober that they might not be deficient in formality--drunk lest they should be destitute of vigor.	This may not be understood but the old Goths of Germany would have understood it, who used to debate matters of importance to their State twice, once when drunk, and once when sober sober that they might not be deficient in formality-drunk lest they should be destitute of vigor.
8459_285173_000016_000000	"Again, in estimating the merit of certain poems, whether they be Ossian's or Macpherson's can surely be of little consequence, yet, in order to prove their worthlessness, Mr. W. has expended many pages in the controversy.	"Again, in estimating the merit of certain poems, whether they be Ossian's or Macpherson's can surely be of little consequence, yet, in order to prove their worthlessness, mr w has expended many pages in the controversy.
8459_285173_000016_000003	But worse still: that he may bear down every argument in favor of these poems, he triumphantly drags forward a passage, in his abomination with which he expects the reader to sympathize.	But worse still: that he may bear down every argument in favor of these poems, he triumphantly drags forward a passage, in his abomination with which he expects the reader to sympathize.
8459_285173_000016_000005	We shall see what better he, in his own person, has to offer.	We shall see what better he, in his own person, has to offer.
8459_285173_000016_000006	Imprimis:	Imprimis:
8459_285173_000018_000000	A few sad tears does Betty shed.... She pats the pony, where or when She knows not.... happy Betty Foy! Oh, Johnny, never mind the doctor!'	A few sad tears does Betty shed.... She pats the pony, where or when She knows not.... happy Betty Foy! Oh, Johnny, never mind the doctor!'
8459_285173_000019_000000	Secondly:	Secondly:
8459_285173_000021_000000	"Now, we have no doubt this is all true: we will believe it, indeed we will, Mr. W. Is it sympathy for the sheep you wish to excite?	"Now, we have no doubt this is all true: we will believe it, indeed we will, mr w Is it sympathy for the sheep you wish to excite?
8459_285173_000021_000001	I love a sheep from the bottom of my heart.	I love a sheep from the bottom of my heart.
8459_285173_000022_000000	"But there are occasions, dear B-, there are occasions when even Wordsworth is reasonable.	"But there are occasions, dear B, there are occasions when even Wordsworth is reasonable.
8459_285173_000022_000001	Even Stamboul, it is said, shall have an end, and the most unlucky blunders must come to a conclusion.	Even Stamboul, it is said, shall have an end, and the most unlucky blunders must come to a conclusion.
8459_285173_000022_000002	Here is an extract from his preface:-	Here is an extract from his preface:-
8459_285173_000024_000000	"Yet, let not Mr. W. despair; he has given immortality to a wagon, and the bee Sophocles has transmitted to eternity a sore toe, and dignified a tragedy with a chorus of turkeys.	"Yet, let not mr w despair; he has given immortality to a wagon, and the bee Sophocles has transmitted to eternity a sore toe, and dignified a tragedy with a chorus of turkeys.
8459_285173_000025_000000	"Of Coleridge, I can not speak but with reverence.	"Of Coleridge, I can not speak but with reverence.
8459_285173_000025_000001	His towering intellect! his gigantic power!	His towering intellect! his gigantic power!
8459_285173_000026_000001	Shade of the immortal Shakespeare!	Shade of the immortal Shakespeare!
8459_285173_000026_000002	I imagine to myself the scowl of your spiritual eye upon the profanity of that scurrilous Ursa Major.	I imagine to myself the scowl of your spiritual eye upon the profanity of that scurrilous Ursa Major.
8459_285173_000026_000003	Think of poetry, dear B-, think of poetry, and then think of Dr. Samuel Johnson!	Think of poetry, dear B, think of poetry, and then think of dr Samuel Johnson!
8459_285173_000026_000004	Think of all that is airy and fairy-like, and then of all that is hideous and unwieldy; think of his huge bulk, the Elephant! and then-and then think of the 'Tempest'--the 'Midsummer-Night's Dream'--Prospero Oberon--and Titania!	Think of all that is airy and fairy like, and then of all that is hideous and unwieldy; think of his huge bulk, the Elephant! and then and then think of the 'Tempest'--the 'Midsummer Night's Dream'--Prospero Oberon-and Titania!
8459_285173_000029_000000	"To sum up this long rigmarole, I have, dear B--, what you, no doubt, perceive, for the metaphysical poets as poets, the most sovereign contempt.	"To sum up this long rigmarole, I have, dear B-, what you, no doubt, perceive, for the metaphysical poets as poets, the most sovereign contempt.
8459_285173_000029_000001	That they have followers proves nothing-	That they have followers proves nothing
