8474_281187_000000_000000	THE ARABIAN NIGHTS	THE ARABIAN NIGHTS	false	0	0.27	-20
8474_281187_000001_000000	_All nations have their fairy tales, but India seems to have been the country from which they all started, carried on their travels by the professional story-tellers who kept the tales alive throughout Asia.	underscore All nations have their fairy tales, but India seems to have been the country from which they all started, carried on their travels by the professional story tellers who kept the tales alive throughout Asia.	false	0.27	5.01	22.43817
8474_281187_000001_000001	In Bagdad and Cairo to-day, that cafe never lacks customers where the blind storyteller relates to the spell-bound Arabs some chapter from the immortal Arabian Nights, the King of all Wonder Books.	In Bagdad and Cairo to day, that cafe never lacks customers where the blind storyteller relates to the spell bound Arabs some chapter from the immortal Arabian Nights, the King of all Wonder Books.	false	5.01	7.32	23.87196
8474_281187_000002_000000	No one knows where the tales were written, except that they came out of the Far East, India, Arabia and Persia.	No one knows where the tales were written, except that they came out of the Far East, India, Arabia and Persia.	false	7.32	9.21	22.987192
8474_281187_000002_000001	Haroun Al Raschid, who was called The Just, was a real Eastern monarch who lived in Bagdad over eleven hundred years ago, about the same time that Charlemagne was King of France.	Haroun Al Raschid, who was called The Just, was a real Eastern monarch who lived in Bagdad over eleven hundred years ago, about the same time that Charlemagne was King of France.	false	9.21	14.88	22.708096
8474_281187_000002_000002	We can believe that the tales are very old, but the most we know is that they were translated from Arabic into French in 1704-17 by a Frenchman named Galland, and that the manuscript of his translation is preserved in the French National Library.	We can believe that the tales are very old, but the most we know is that they were translated from Arabic into French in seventeen o four to seventeen by a Frenchman named Galland, and that the manuscript of his translation is preserved in the French National Library.	false	14.88	27.51	24.362202
8474_281187_000002_000003	American boys first had the chance to read the notes in English about the time President Monroe was elected._	American boys first had the chance to read the notes in English about the time President Monroe was elected.underscore	false	27.51	31.575	22.745157
8474_281187_000003_000000	ALI BABA AND THE FORTY THIEVES	ALI BABA AND THE FORTY THIEVES	false	31.575	36.09	23.779133
8474_281187_000004_000000	There once lived in a town of Persia two brothers, one named Cassim, and the other Ali Baba.	There once lived in a town of Persia two brothers, one named Cassim, and the other Ali Baba.	false	36.09	42.25	24.63418
8474_281187_000004_000001	Their father divided a small inheritance equally between them.	Their father divided a small inheritance equally between them.	true	42.59	45.93	23.124424
8474_281187_000004_000002	Cassim married a very rich wife, and became a wealthy merchant.	Cassim married a very rich wife, and became a wealthy merchant.	false	45.93	50.08	21.587362
8474_281187_000004_000003	Ali Baba married a woman as poor as himself, and lived by cutting wood, and bringing it upon three asses into the town to sell.	Ali Baba married a woman as poor as himself, and lived by cutting wood, and bringing it upon three asses into the town to sell.	true	50.42	57.73	24.250675
8474_281187_000005_000000	One day, when Ali Baba was in the forest, and had just cut wood enough to load his asses, he saw at a distance a great cloud of dust, which seemed to approach him.	One day, when Ali Baba was in the forest, and had just cut wood enough to load his asses, he saw at a distance a great cloud of dust, which seemed to approach him.	false	58.61	68.32	22.144117
8474_281187_000005_000001	He observed it with attention, and distinguished soon after a body of horsemen, whom he suspected might be robbers.	He observed it with attention, and distinguished soon after a body of horsemen, whom he suspected might be robbers.	true	68.72	75.46	23.377712
8474_281187_000005_000002	He determined to leave his asses to save himself.	He determined to leave his asses to save himself.	true	76.01	79.12	23.879934
8474_281187_000005_000003	He climbed up a large tree, planted on a high rock, whose branches were thick enough to conceal him, and yet enabled him to see all that passed without being discovered.	He climbed up a large tree, planted on a high rock, whose branches were thick enough to conceal him, and yet enabled him to see all that passed without being discovered.	true	79.67	88.84	23.101109
8474_281187_000006_000000	The troop, who were to the number of forty, all well mounted and armed, came to the foot of the rock on which the tree stood, and there dismounted.	The troop, who were to the number of forty, all well mounted and armed, came to the foot of the rock on which the tree stood, and there dismounted.	true	89.21	97.48	24.79163
