8573_286306_000001_000000	CHAPTER XVIII: CANNAE	CHAPTER eighteen: CANNAE
8573_286306_000002_000000	As the elephant tore down the road to the town many were the narrow escapes that, as they thought, those coming up had of being crushed or thrown into the air by the angry beast.	As the elephant tore down the road to the town many were the narrow escapes that, as they thought, those coming up had of being crushed or thrown into the air by the angry beast.
8573_286306_000002_000001	Some threw themselves on their faces, others got over the parapet and hung by their hands until he had passed, while some squeezed themselves against the wall; but the elephant passed on without doing harm to any.	Some threw themselves on their faces, others got over the parapet and hung by their hands until he had passed, while some squeezed themselves against the wall; but the elephant passed on without doing harm to any.
8573_286306_000003_000000	On reaching the foot of the descent the mahout guided the animal to the left, and, avoiding the busy streets of the town, directed its course towards the more quiet roads of the opulent quarter of Megara.	On reaching the foot of the descent the mahout guided the animal to the left, and, avoiding the busy streets of the town, directed its course towards the more quiet roads of the opulent quarter of Megara.
8573_286306_000003_000001	The cries of the people at the approach of the elephant preceded its course, and all took refuge in gardens or houses.	The cries of the people at the approach of the elephant preceded its course, and all took refuge in gardens or houses.
8573_286306_000003_000002	The latter became less and less frequent, until, at a distance of two miles from the foot of the citadel, the mahout, on looking round, perceived no one in sight.	The latter became less and less frequent, until, at a distance of two miles from the foot of the citadel, the mahout, on looking round, perceived no one in sight.
8573_286306_000003_000003	He brought the elephant suddenly to a standstill.	He brought the elephant suddenly to a standstill.
8573_286306_000004_000000	"Quick, my lord," he exclaimed, "now is the time."	"Quick, my lord," he exclaimed, "now is the time."
8573_286306_000005_000000	Malchus threw off the sack, climbed out of the howdah, and slipped down by the elephant's tail, the usual plan for dismounting when an elephant is on its feet.	Malchus threw off the sack, climbed out of the howdah, and slipped down by the elephant's tail, the usual plan for dismounting when an elephant is on its feet.
8573_286306_000006_000000	A minute or two later Malchus issued out and quietly followed it.	A minute or two later Malchus issued out and quietly followed it.
8573_286306_000006_000004	The scheme had been entirely successful.	The scheme had been entirely successful.
8573_286306_000006_000005	Malchus had escaped from the citadel without the possibility of a suspicion arising that he had issued from its gates, and in his Arab garb he could now traverse the streets unsuspected.	Malchus had escaped from the citadel without the possibility of a suspicion arising that he had issued from its gates, and in his Arab garb he could now traverse the streets unsuspected.
8573_286306_000007_000001	Nessus and the Arab at once returned to the citadel.	Nessus and the Arab at once returned to the citadel.
8573_286306_000007_000002	It was agreed that the former had better continue his work as usual until the evening, and then ask for his discharge on the plea that he had received a message requiring his presence in his native village, for it was thought that suspicion might be excited were he to leave suddenly without drawing his pay, and possibly a search might be instituted in the city to discover his whereabouts.	It was agreed that the former had better continue his work as usual until the evening, and then ask for his discharge on the plea that he had received a message requiring his presence in his native village, for it was thought that suspicion might be excited were he to leave suddenly without drawing his pay, and possibly a search might be instituted in the city to discover his whereabouts.
8573_286306_000010_000000	"Hanno's faction is all powerful at present," he said, "and were Hannibal himself here I doubt whether his voice could stir the senate into taking action such as is needed.	"Hanno's faction is all powerful at present," he said, "and were Hannibal himself here I doubt whether his voice could stir the senate into taking action such as is needed.
8573_286306_000010_000002	I think it would be in the highest degree dangerous were we, as you propose, to introduce you suddenly to the senate as Hannibal's ambassador to them, and leave you to plead his cause.	I think it would be in the highest degree dangerous were we, as you propose, to introduce you suddenly to the senate as Hannibal's ambassador to them, and leave you to plead his cause.
8573_286306_000010_000005	You would, I am convinced, throw away your life for no good purpose, while your presence and your mysterious escape from prison would be made the pretense for a fresh series of persecutions of our partisans.	You would, I am convinced, throw away your life for no good purpose, while your presence and your mysterious escape from prison would be made the pretense for a fresh series of persecutions of our partisans.
8573_286306_000011_000000	"To ask Carthage to make these sacrifices in her present mood is hopeless; we must await an opportunity.	"To ask Carthage to make these sacrifices in her present mood is hopeless; we must await an opportunity.
8573_286306_000011_000001	I and my friends will prepare the way, will set our agents to work among the people, and when the news of another victory arrives and the people's hopes are aroused and excited, we will strike while the iron is hot, and call upon them to make one great effort to bring the struggle to a conclusion and to finish with Rome forever.	I and my friends will prepare the way, will set our agents to work among the people, and when the news of another victory arrives and the people's hopes are aroused and excited, we will strike while the iron is hot, and call upon them to make one great effort to bring the struggle to a conclusion and to finish with Rome forever.
8573_286306_000012_000000	"Such is, in my opinion, the only possible mode of proceeding.	"Such is, in my opinion, the only possible mode of proceeding.
8573_286306_000012_000001	To move now would be to ensure a rejection of our demands, to bring fresh persecutions upon us, and so to weaken us that we should be powerless to turn to good account the opportunity which the news of another great victory would afford.	To move now would be to ensure a rejection of our demands, to bring fresh persecutions upon us, and so to weaken us that we should be powerless to turn to good account the opportunity which the news of another great victory would afford.
8573_286306_000013_000000	"In the meantime you must, for a short time, remain in concealment, while I arrange for a ship to carry you back to Italy."	"In the meantime you must, for a short time, remain in concealment, while I arrange for a ship to carry you back to Italy."
8573_286306_000014_000000	"The sooner the better," Malchus said bitterly, "for Carthage with its hideous tyranny, its foul corruption, its forgetfulness of its glory, its honour, and even its safety, is utterly hateful to me.	"The sooner the better," Malchus said bitterly, "for Carthage with its hideous tyranny, its foul corruption, its forgetfulness of its glory, its honour, and even its safety, is utterly hateful to me.
8573_286306_000014_000001	I trust that never again shall I set foot within its walls.	I trust that never again shall I set foot within its walls.
8573_286306_000015_000003	She sees unmoved the heroic efforts which Hannibal and his army are making to save her, and she will not stretch out a hand to aid him.	She sees unmoved the heroic efforts which Hannibal and his army are making to save her, and she will not stretch out a hand to aid him.
8573_286306_000015_000004	She lives contentedly under the constant tyranny of Hanno's rule, satisfied to be wealthy, luxurious, and slothful, to carry on her trade, to keep her riches, caring nothing for the manly virtues, indifferent to valour, preparing herself slowly and surely to fall an easy prey to Rome.	She lives contentedly under the constant tyranny of Hanno's rule, satisfied to be wealthy, luxurious, and slothful, to carry on her trade, to keep her riches, caring nothing for the manly virtues, indifferent to valour, preparing herself slowly and surely to fall an easy prey to Rome.
8573_286306_000016_000001	A nation which can place a mere handful of its own citizens in the line of battle voluntarily dooms herself to destruction."	A nation which can place a mere handful of its own citizens in the line of battle voluntarily dooms herself to destruction."
8573_286306_000017_000000	"Whether it comes in my time or not," Malchus said, "I will be no sharer in the fate of Carthage.	"Whether it comes in my time or not," Malchus said, "I will be no sharer in the fate of Carthage.
8573_286306_000017_000001	I have done with her; and if I do not fall in the battlefield I will, when the war is over, seek a refuge among the Gauls, where, if the life is rough, it is at least free and independent, where courage and manliness and honour count for much, and where the enervating influence of wealth is as yet unknown.	I have done with her; and if I do not fall in the battlefield I will, when the war is over, seek a refuge among the Gauls, where, if the life is rough, it is at least free and independent, where courage and manliness and honour count for much, and where the enervating influence of wealth is as yet unknown.
8573_286306_000018_000000	"I say nothing to dissuade you, Malchus," the old man replied, "such are the natural sentiments of your age; and methinks, were my own time to come over again, I too would choose such a life in preference to an existence in the polluted atmosphere of ungrateful Carthage.	"I say nothing to dissuade you, Malchus," the old man replied, "such are the natural sentiments of your age; and methinks, were my own time to come over again, I too would choose such a life in preference to an existence in the polluted atmosphere of ungrateful Carthage.
8573_286306_000018_000001	And now, will you stop here with me, or will you return to the place where you are staying?	And now, will you stop here with me, or will you return to the place where you are staying?
8573_286306_000019_000001	Let your follower come nightly to me for instructions; let him enter the gate and remain in the garden near it.	Let your follower come nightly to me for instructions; let him enter the gate and remain in the garden near it.
8573_286306_000019_000002	I will come down and see him; his visits, were they known, would excite suspicion.	I will come down and see him; his visits, were they known, would excite suspicion.
8573_286306_000019_000003	Bid him on his return watch closely to see that he is not followed, and tell him to go by devious windings and to mix in the thickest crowds in order to throw any one who may be following off his track before he rejoins you.	Bid him on his return watch closely to see that he is not followed, and tell him to go by devious windings and to mix in the thickest crowds in order to throw any one who may be following off his track before he rejoins you.
8573_286306_000019_000005	Come again and see me before you leave.	Come again and see me before you leave.
8573_286306_000019_000006	Here is a bag of gold; you will need it to reward those who have assisted in your escape."	Here is a bag of gold; you will need it to reward those who have assisted in your escape."
8573_286306_000021_000001	Suddenly Nessus stopped and listened, and then resumed his walk.	Suddenly Nessus stopped and listened, and then resumed his walk.
