8575_290351_000007_000000	CHAPTER XV.	CHAPTER fifteen.
8575_290351_000008_000000	IDEAS OF DURATION AND EXPANSION, CONSIDERED TOGETHER.	IDEAS OF DURATION AND EXPANSION, CONSIDERED TOGETHER.
8575_290351_000009_000000	1.	one.
8575_290351_000011_000001	Expansion not bounded by Matter.	Expansion not bounded by Matter.
8575_290351_000014_000000	Just so is it in duration.	Just so is it in duration.
8575_290351_000017_000000	5.	five.
8575_290351_000017_000001	Time to Duration is as Place to Expansion.	Time to Duration is as Place to Expansion.
8575_290351_000019_000000	6.	six.
8575_290351_000022_000000	7.	seven.
8575_290351_000024_000000	8.	eight.
8575_290351_000024_000001	They belong to all finite beings.	They belong to all finite beings.
8575_290351_000026_000000	9.	nine.
8575_290351_000028_000000	10.	ten.
8575_290351_000028_000001	Their Parts inseparable.	Their Parts inseparable.
8575_290351_000032_000000	12.	twelve.
8575_290351_000033_000005	Finite or any magnitude holds not any proportion to infinite.	Finite or any magnitude holds not any proportion to infinite.
