8619_291379_000000_000000	XXIV	twenty four	false	18.6	20.07	27.15764
8619_291379_000001_000000	BEOWULF spake, bairn of Ecgtheow: -- "Lo, now, this sea-booty, son of Healfdene, Lord of Scyldings, we've lustily brought thee, sign of glory; thou seest it here. Not lightly did I with my life escape! In war under water this work I essayed with endless effort; and even so my strength had been lost had the Lord not shielded me. Not a whit could I with Hrunting do in work of war, though the weapon is good; yet a sword the Sovran of Men vouchsafed me to spy on the wall there, in splendor hanging, old, gigantic, -- how oft He guides the friendless wight!	BEOWULF spake, bairn of Ecgtheow: -- "Lo, now, this sea booty, son of Healfdene, Lord of Scyldings, we've lustily brought thee, sign of glory; thou seest it here. Not lightly did I with my life escape! In war under water this work I essayed with endless effort; and even so my strength had been lost had the Lord not shielded me. Not a whit could I with h r unting do in work of war, though the weapon is good; yet a sword the Sovran of Men vouchsafed me to spy on the wall there, in splendor hanging, old, gigantic, -- how oft He guides the friendless wight!	false	20.07	64.26	20.131163
8619_291379_000001_000001	-- and I fought with that brand, felling in fight, since fate was with me, the house's wardens.	-- and I fought with that brand, felling in fight, since fate was with me, the house's wardens.	false	64.26	70.39	20
8619_291379_000001_000002	That war-sword then all burned, bright blade, when the blood gushed o'er it, battle-sweat hot; but the hilt I brought back from my foes.	That war sword then all burned, bright blade, when the blood gushed o'er it, battle sweat hot; but the hilt I brought back from my foes.	true	70.67	79.93	19
8619_291379_000001_000003	So avenged I their fiendish deeds death-fall of Danes, as was due and right. And this is my hest, that in Heorot now safe thou canst sleep with thy soldier band, and every thane of all thy folk both old and young; no evil fear, Scyldings' lord, from that side again, aught ill for thy earls, as erst thou must!" Then the golden hilt, for that gray-haired leader, hoary hero, in hand was laid, giant-wrought, old.	So avenged I their fiendish deeds death fall of Danes, as was due and right. And this is my hest, that in Heorot now safe thou canst sleep with thy soldier band, and every thane of all thy folk both old and young; no evil fear, Scyldings' lord, from that side again, aught ill for thy earls, as erst thou must!" Then the golden hilt, for that gray haired leader, hoary hero, in hand was laid, giant wrought, old.	false	79.94	112.87	21.417099
8619_291379_000001_000004	So owned and enjoyed it after downfall of devils, the Danish lord, wonder-smiths' work, since the world was rid of that grim-souled fiend, the foe of God, murder-marked, and his mother as well. Now it passed into power of the people's king, best of all that the oceans bound who have scattered their gold o'er Scandia's isle. Hrothgar spake -- the hilt he viewed, heirloom old, where was etched the rise of that far-off fight when the floods o'erwhelmed, raging waves, the race of giants (fearful their fate!), a folk estranged from God Eternal: whence guerdon due in that waste of waters the Wielder paid them. So on the guard of shining gold in runic staves it was rightly said for whom the serpent-traced sword was wrought, best of blades, in bygone days, and the hilt well wound.	So owned and enjoyed it after downfall of devils, the Danish lord, wonder smiths' work, since the world was rid of that grim souled fiend, the foe of God, murder marked, and his mother as well. Now it passed into power of the people's king, best of all that the oceans bound who have scattered their gold o'er Scandia's isle. Hrothgar spake -- the hilt he viewed, heirloom old, where was etched the rise of that far off fight when the floods o'erwhelmed, raging waves, the race of giants (fearful their fate!), a folk estranged from God Eternal: whence guerdon due in that waste of waters the Wielder paid them. So on the guard of shining gold in runic staves it was rightly said for whom the serpent traced sword was wrought, best of blades, in bygone days, and the hilt well wound.	false	113	171.94	21.354406
8619_291379_000001_000005	-- The wise-one spake, son of Healfdene; silent were all: -- "Lo, so may he say who sooth and right follows 'mid folk, of far times mindful, a land-warden old, {24a} that this earl belongs to the better breed!	-- The wise one spake, son of Healfdene; silent were all: -- "Lo, so may he say who sooth and right follows 'mid folk, of far times mindful, a land warden old, {twenty four a} that this earl belongs to the better breed!	false	172.04	187.24	20.037203
8619_291379_000001_000006	So, borne aloft, thy fame must fly, O friend my Beowulf, far and wide o'er folksteads many.	So, borne aloft, thy fame must fly, O friend my Beowulf, far and wide o'er folksteads many.	false	187.31	194.46	19
8619_291379_000001_000007	Firmly thou shalt all maintain, mighty strength with mood of wisdom.	Firmly thou shalt all maintain, mighty strength with mood of wisdom.	true	194.46	199.185	18
8619_291379_000001_000008	Love of mine will I assure thee, as, awhile ago, I promised; thou shalt prove a stay in future, in far-off years, to folk of thine, to the heroes a help.	Love of mine will I assure thee, as, awhile ago, I promised; thou shalt prove a stay in future, in far off years, to folk of thine, to the heroes a help.	false	199.185	209.61	16
8619_291379_000001_000009	Was not Heremod thus to offspring of Ecgwela, Honor-Scyldings, nor grew for their grace, but for grisly slaughter, for doom of death to the Danishmen.	Was not Heremod thus to offspring of Ecgwela, Honor Scyldings, nor grew for their grace, but for grisly slaughter, for doom of death to the Danishmen.	false	209.61	220.39	17.730318
8619_291379_000002_000000	He slew, wrath-swollen, his shoulder-comrades, companions at board!	He slew, wrath swollen, his shoulder comrades, companions at board!	true	220.67	225.345	14
8619_291379_000002_000001	So he passed alone, chieftain haughty, from human cheer. Though him the Maker with might endowed, delights of power, and uplifted high above all men, yet blood-fierce his mind, his breast-hoard, grew, no bracelets gave he to Danes as was due; he endured all joyless strain of struggle and stress of woe, long feud with his folk.	So he passed alone, chieftain haughty, from human cheer. Though him the Maker with might endowed, delights of power, and uplifted high above all men, yet blood fierce his mind, his breast hoard, grew, no bracelets gave he to Danes as was due; he endured all joyless strain of struggle and stress of woe, long feud with his folk.	false	225.345	248.92	14
8619_291379_000002_000002	Here find thy lesson! Of virtue advise thee!	Here find thy lesson! Of virtue advise thee!	false	248.93	252.46	15
