8635_295756_000000_000000	CHAPTER II.	CHAPTER two.	true	22.395	24.13	27.625568
8635_295756_000001_000000	YOUTH.	YOUTH.	true	24.62	25.54	24.790524
8635_295756_000002_000000	George was a great pet with his bro-ther, Law-rence Wash-ing-ton, who thought it would be a nice thing for him to serve on board one of the King's ships-of-war.	George was a great pet with his bro ther, Law rence Wash ing ton, who thought it would be a nice thing for him to serve on board one of the King's ships of war.	false	25.79	33.34	20.414627
8635_295756_000002_000001	While Law-rence was in the West In-dies he was on good terms with Gen-er-al Went-worth and Ad-mi-ral Ver-non, and he had no doubt they would do their best to get his bro-ther a good place.	While Law rence was in the West In dies he was on good terms with Gen er al Went worth and Ad mi r a l Ver non, and he had no doubt they would do their best to get his bro ther a good place.	false	33.53	43.09	22.166443
8635_295756_000002_000002	He spoke to George a-bout it, and the boy was wild with joy.	He spoke to George a bout it, and the boy was wild with joy.	true	43.34	47.1	22.354214
8635_295756_000002_000003	His mo-ther's pride was roused, and at first she did not put a straw in his way, but gave him all the help she could.	His mo ther's pride was roused, and at first she did not put a straw in his way, but gave him all the help she could.	false	47.1	55.66	24.452648
8635_295756_000002_000004	But as the time drew near, her heart, which had been so strong and brave and full of pride, gave way and she felt that she could not part with her dear boy.	But as the time drew near, her heart, which had been so strong and brave and full of pride, gave way and she felt that she could not part with her dear boy.	true	55.73	64.755	22.204468
8635_295756_000003_000000	One of her friends wrote to Law-rence that Mrs. Wash-ing-ton had made up her mind not to let George go to sea.	One of her friends wrote to Law rence that mrs Wash ing ton had made up her mind not to let George go to sea.	false	64.755	70.54	24.197386
8635_295756_000003_000001	She said that some of her friends had told her it was a bad plan, and "I find," said he "that one word a-gainst his go-ing has more weight than ten for it."	She said that some of her friends had told her it was a bad plan, and "I find," said he "that one word a gainst his go ing has more weight than ten for it."	false	70.76	80.92	21.913557
8635_295756_000004_000000	So they gave up the scheme, and George was sent back to school.	So they gave up the scheme, and George was sent back to school.	true	81.02	84.58	22.037043
8635_295756_000005_000000	He would, on fine days, go out in the fields and tracts of land a-round the school-house, and with line and rod take the size and shape, the length and width, and mark it all down in one of his books, and so much pains did he take that from the first to the last page not a blot or blur is to be seen.	He would, on fine days, go out in the fields and tracts of land a round the school house, and with line and rod take the size and shape, the length and width, and mark it all down in one of his books, and so much pains did he take that from the first to the last page not a blot or blur is to be seen.	false	84.77	105.16	21.79001
8635_295756_000006_000000	These neat ways, formed in his youth, were kept up through all his life, and what seems strange is that day-books, and such books as you will find in great use now-a-days were not known at that time.	These neat ways, formed in his youth, were kept up through all his life, and what seems strange is that day books, and such books as you will find in great use now a days were not known at that time.	true	105.35	117.64	22.561995
8635_295756_000006_000001	The plan had been thought out by George Wash-ing-ton when a boy of 16, and shows the cast of his mind.	The plan had been thought out by George Wash ing ton when a boy of sixteen, and shows the cast of his mind.	false	117.83	124.09	22.192379
8635_295756_000007_000000	Near this time George was sent to live with his bro-ther Law-rence, at his fine place on the Po-to-mac, which he had called Mount Ver-non, to show how much he thought of the ad-mi-ral of that name.	Near this time George was sent to live with his bro ther Law rence, at his fine place on the Po to mac, which he had called Mount Ver non, to show how much he thought of the ad mi r a l of that name.	false	124.25	134.29	22.315517
