8677_246948_000000_000000	CHAPTER XXVII.	CHAPTER twenty seven.	false	0.15	17.625	22.606077
8677_246948_000001_000000	DIVINE SERVICE.	DIVINE SERVICE.	true	17.625	18.85	18
8677_246948_000002_000000	The next day the curate called again on Leopold.	The next day the curate called again on Leopold.	true	19.46	22.515	23
8677_246948_000002_000001	But Helen happened to be otherwise engaged for a few minutes, and Mrs. Ramshorn to be in the sick-room when the servant brought his name.	But Helen happened to be otherwise engaged for a few minutes, and mrs Ramshorn to be in the sick room when the servant brought his name.	true	22.515	29.32	16
8677_246948_000002_000002	With her jealousy of Wingfold's teaching, she would not have admitted him, but Lingard made such loud protest when he heard her say "Not at home," insisting on seeing him, that she had to give way, and tell the maid to show him up.	With her jealousy of Wingfold's teaching, she would not have admitted him, but Lingard made such loud protest when he heard her say "Not at home," insisting on seeing him, that she had to give way, and tell the maid to show him up.	true	29.6	41.14	16
8677_246948_000002_000003	She HAD NO NOTION however of leaving him alone in the room with the invalid: who could tell what absurd and extravagant ideas he might not put into the boy's head!	She HAD NO NOTION however of leaving him alone in the room with the invalid: who could tell what absurd and extravagant ideas he might not put into the boy's head!	true	41.45	50.11	14
8677_246948_000002_000004	He might make him turn monk, or Socinian, or latter-day-saint, for what she knew!	He might make him turn monk, or Socinian, or latter day saint, for what she knew!	true	50.42	55.51	21.012486
8677_246948_000002_000005	So she sat, blocking up the sole small window in the youth's dark dwelling that looked eastward, and damming back the tide of the dawn from his diseased and tormented soul. Little conversation was therefore possible.	So she sat, blocking up the sole small window in the youth's dark dwelling that looked eastward, and damming back the tide of the dawn from his diseased and tormented soul. Little conversation was therefore possible.	true	55.67	67.08	18
8677_246948_000002_000006	Still the face of his new friend was a comfort to Leopold, and ere he left him they had managed to fix an hour for next day, when they would not be thus foiled of their talk.	Still the face of his new friend was a comfort to Leopold, and ere he left him they had managed to fix an hour for next day, when they would not be thus foiled of their talk.	false	67.08	76.36	18
8677_246948_000003_000000	That same afternoon, Wingfold took the draper to see Polwarth.	That same afternoon, Wingfold took the draper to see Polwarth.	true	76.88	80.59	22.272388
8677_246948_000004_000000	Rachel was lying on the sofa in the parlour--a poor little heap, looking more like a grave disturbed by efforts at a resurrection, than a form informed with humanity.	Rachel was lying on the sofa in the parlour-a poor little heap, looking more like a grave disturbed by efforts at a resurrection, than a form informed with humanity.	false	80.93	89.98	17
8677_246948_000004_000001	But she was cheerful and cordial, receiving Mr. Drew and accepted his sympathy most kindly.	But she was cheerful and cordial, receiving mr Drew and accepted his sympathy most kindly.	true	90.2	95.26	17
8677_246948_000005_000000	"We'll see what God will do for me," she said in answer to a word from the curate.	"We'll see what God will do for me," she said in answer to a word from the curate.	true	95.9	99.67	16
8677_246948_000005_000001	Her whole bearing, now as always, was that of one who perfectly trusted a supreme spirit under whose influences lay even the rugged material of her deformed dwelling.	Her whole bearing, now as always, was that of one who perfectly trusted a supreme spirit under whose influences lay even the rugged material of her deformed dwelling.	true	99.77	108.85	16
8677_246948_000006_000000	Polwarth allowed Wingfold to help him in getting tea, and the conversation, as will be the case where all are in earnest, quickly found the right channel.	Polwarth allowed Wingfold to help him in getting tea, and the conversation, as will be the case where all are in earnest, quickly found the right channel.	true	109.37	117.76	18
8677_246948_000007_000000	It is not often in real life that such conversations occur.	It is not often in real life that such conversations occur.	true	118.28	121.45	21.801886
8677_246948_000007_000001	Generally, in any talk worth calling conversation, every man has some point to maintain, and his object is to justify his own thesis and disprove his neighbour's.	Generally, in any talk worth calling conversation, every man has some point to maintain, and his object is to justify his own thesis and disprove his neighbour's.	true	121.58	130.45	17
8677_246948_000007_000002	I will allow that he may primarily have adopted his thesis because of some sign of truth in it, but his mode of supporting it is generally such as to block up every cranny in his soul at which more truth might enter.	I will allow that he may primarily have adopted his thesis because of some sign of truth in it, but his mode of supporting it is generally such as to block up every cranny in his soul at which more truth might enter.	false	130.76	142.48	17
8677_246948_000007_000003	In the present case, unusual as it is for so many as three truth-loving men to come thus together on the face of this planet, here were three simply set on uttering truth they had seen, and gaining sight of truth as yet veiled from them.	In the present case, unusual as it is for so many as three truth loving men to come thus together on the face of this planet, here were three simply set on uttering truth they had seen, and gaining sight of truth as yet veiled from them.	true	142.85	155.92	17
8677_246948_000008_000000	I shall attempt only a general impression of the result of their evening's intercourse, partly recording the utterances of Polwarth.	I shall attempt only a general impression of the result of their evening's intercourse, partly recording the utterances of Polwarth.	true	156.32	163.72	21
8677_246948_000009_000000	"I have been trying hard to follow you, Mr. Polwarth," said the draper, after his host had for a while had the talk to himself, "but I cannot get a hold of your remarks.	"I have been trying hard to follow you, mr Polwarth," said the draper, after his host had for a while had the talk to himself, "but I cannot get a hold of your remarks.	true	164.21	172.09	17
8677_246948_000009_000001	One moment I think I have got the end of the clew, and the next find myself all abroad again.	One moment I think I have got the end of the clew, and the next find myself all abroad again.	false	172.28	177.49	19
8677_246948_000009_000002	Would you tell me what you mean by divine service, for I think you must use the phrase in some different sense from what I have been accustomed to?"	Would you tell me what you mean by divine service, for I think you must use the phrase in some different sense from what I have been accustomed to?"	true	177.71	184.93	17
8677_246948_000010_000000	"Ah!	"Ah!	true	185.36	186.135	21.354168
8677_246948_000010_000001	I ought to remember," said Polwarth, "that what has grown familiar to my mind from much solitary thinking, may not at once show itself to another, when presented in the forms of a foreign individuality.	I ought to remember," said Polwarth, "that what has grown familiar to my mind from much solitary thinking, may not at once show itself to another, when presented in the forms of a foreign individuality.	true	186.135	196.78	15
8677_246948_000010_000002	I ought to have premised that, when I use the phrase, DIVINE SERVICE, I mean nothing whatever belonging to the church, or its observances.	I ought to have premised that, when I use the phrase, DIVINE SERVICE, I mean nothing whatever belonging to the church, or its observances.	false	197	204.22	16
8677_246948_000010_000003	I mean by it what it ought to mean--the serving of God--the doing of something for God.	I mean by it what it ought to mean-the serving of God-the doing of something for God.	true	204.23	209.7	18
8677_246948_000010_000004	Shall I make of the church in my foolish imaginations a temple of idolatrous worship by supposing that it is for the sake of supplying some need that God has, or of gratifying some taste in him, that I there listen to his word, say prayers to him, and sing his praises?	Shall I make of the church in my foolish imaginations a temple of idolatrous worship by supposing that it is for the sake of supplying some need that God has, or of gratifying some taste in him, that I there listen to his word, say prayers to him, and sing his praises?	true	209.7	225.49	18
8677_246948_000010_000005	Shall I be such a dull mule in the presence of the living Truth?	Shall I be such a dull mule in the presence of the living Truth?	true	225.74	229.15	18
8677_246948_000010_000006	Or, to use a homely simile, shall I be as the good boy of the nursery rhyme, who, seated in his corner of selfish complacency, regards the eating of his pie as a virtuous action, enjoys the contemplation of it, and thinks what a pleasant object he thus makes of himself to his parents?	Or, to use a homely simile, shall I be as the good boy of the nursery rhyme, who, seated in his corner of selfish complacency, regards the eating of his pie as a virtuous action, enjoys the contemplation of it, and thinks what a pleasant object he thus makes of himself to his parents?	false	229.22	245.71	18
8677_246948_000010_000007	Shall I, to take a step farther, degrade the sanctity of the closet, hallowed in the words of Jesus, by shutting its door in the vain fancy of there doing something that God requires of me as a sacred OBSERVANCE?	Shall I, to take a step farther, degrade the sanctity of the closet, hallowed in the words of Jesus, by shutting its door in the vain fancy of there doing something that God requires of me as a sacred OBSERVANCE?	true	246.14	258.1	21
8677_246948_000010_000008	Shall I foolishly imagine that to put in exercise the highest and loveliest, the most entrancing privilege of existence, that of pouring forth my whole heart into the heart of him who is ACCOUNTABLE FOR me, who hath glorified me with his own image--in my soul, gentlemen, sadly disfigured as it is in my body!--shall I say that THAT is to do anything for God? Was I serving my father when I ate the dinner he provided for me?	Shall I foolishly imagine that to put in exercise the highest and loveliest, the most entrancing privilege of existence, that of pouring forth my whole heart into the heart of him who is ACCOUNTABLE FOR me, who hath glorified me with his own image-in my soul, gentlemen, sadly disfigured as it is in my body!--shall I say that THAT is to do anything for God? Was I serving my father when I ate the dinner he provided for me?	true	258.2	281.77	18
8677_246948_000010_000009	Am I serving my God when I eat his bread and drink his wine?"	Am I serving my God when I eat his bread and drink his wine?"	true	281.87	285.04	16
8677_246948_000011_000000	"But," said Drew, "is not God pleased that a man should pour out his soul to him?"	"But," said Drew, "is not God pleased that a man should pour out his soul to him?"	true	285.32	289.27	19
8677_246948_000012_000000	"Yes, doubtless; but what would you think of a child who said, 'I am very useful to my father, for when I ask him for anything, or tell him I love him, it gives him--oh, such pleasure!'?"	"Yes, doubtless; but what would you think of a child who said, 'I am very useful to my father, for when I ask him for anything, or tell him I love him, it gives him-oh, such pleasure!'?"	true	289.52	299.08	20
8677_246948_000013_000000	"I should say he was an unendurable prig.	"I should say he was an unendurable prig.	true	299.39	302.415	18
8677_246948_000013_000001	Better he had to be whipped for stealing!" said the curate.	Better he had to be whipped for stealing!" said the curate.	true	302.415	305.14	17
8677_246948_000014_000000	"There would be more hope of his future," returned Polwarth.	"There would be more hope of his future," returned Polwarth.	true	305.27	308.14	18
8677_246948_000014_000001	"--Is the child," he continued, "who sits by his father's knee and looks up into his father's face, SERVING that father, because the heart of the father delights to look down upon his child?	"--Is the child," he continued, "who sits by his father's knee and looks up into his father's face, SERVING that father, because the heart of the father delights to look down upon his child?	true	308.18	317.44	17
8677_246948_000014_000002	And shall the moment of my deepest repose and bliss, the moment when I serve myself with the very life of the universe, be called a serving of my God?	And shall the moment of my deepest repose and bliss, the moment when I serve myself with the very life of the universe, be called a serving of my God?	true	317.57	325.08	15
8677_246948_000014_000003	It is communion with God; he holds it with me, else never could I hold it with him.	It is communion with God; he holds it with me, else never could I hold it with him.	false	325.08	329.71	17
8677_246948_000014_000004	I am as the foam-froth upon his infinite ocean, but of the water of the ocean is the bubble on its waves."	I am as the foam froth upon his infinite ocean, but of the water of the ocean is the bubble on its waves."	false	329.84	336.1	17
8677_246948_000015_000000	Not the eyes only, but the whole face of the man, which had grown of a pure, semi-transparent whiteness, appeared to Wingfold to emit light.	Not the eyes only, but the whole face of the man, which had grown of a pure, semi transparent whiteness, appeared to Wingfold to emit light.	true	336.62	343.93	16
8677_246948_000016_000000	"When my child would serve me," he went on, "he spies out some need I have, springs from his seat at my knee, finds that which will meet my necessity, and is my eager, happy servant, of consequence in his own eyes inasmuch as he has done something for his father.	"When my child would serve me," he went on, "he spies out some need I have, springs from his seat at my knee, finds that which will meet my necessity, and is my eager, happy servant, of consequence in his own eyes inasmuch as he has done something for his father.	false	344.12	357.19	18
8677_246948_000016_000001	His seat by my knee is love, delight, well-being, peace--not service, however pleasing in my eyes.--'Why do you seat yourself at my knee, my son?' 'To please you, father.' 'Nay then, my son! go from me, and come again when it shall be to please thyself.'--'Why do you cling to my chair, my daughter?	His seat by my knee is love, delight, well-being, peace-not service, however pleasing in my eyes.--'Why do you seat yourself at my knee, my son?' 'To please you, father.' 'Nay then, my son! go from me, and come again when it shall be to please thyself.'--'Why do you cling to my chair, my daughter?	false	357.47	375.91	20
8677_246948_000016_000002	'Because I want to be near you, father.	'Because I want to be near you, father.	true	376.01	377.58	13
8677_246948_000016_000003	It makes me so happy!' 'Come nearer still--come to my bosom, my child, and be yet happier.'--Talk not of public worship as divine service; it is a mockery.	It makes me so happy!' 'Come nearer still-come to my bosom, my child, and be yet happier.'--Talk not of public worship as divine service; it is a mockery.	true	377.58	387.31	21
8677_246948_000016_000004	Search the prophets and you will find the observances, fasts and sacrifices and solemn feasts, of the temple by them regarded with loathing and scorn, just because by the people they were regarded as DIVINE SERVICE."	Search the prophets and you will find the observances, fasts and sacrifices and solemn feasts, of the temple by them regarded with loathing and scorn, just because by the people they were regarded as DIVINE SERVICE."	true	387.32	398.62	15
8677_246948_000017_000000	"But," said Mr. Drew, while Wingfold turned towards him with some anxiety lest he should break the mood of the little prophet, "I can't help thinking I have you! for how are poor creatures like us--weak, blundering creatures, sometimes most awkward when best-intentioned--how are we to minister to a perfect God--perfect in wisdom, strength, and everything--of whom Paul says that he is not worshipped with men's hands as though he needed anything?	"But," said mr Drew, while Wingfold turned towards him with some anxiety lest he should break the mood of the little prophet, "I can't help thinking I have you! for how are poor creatures like us-weak, blundering creatures, sometimes most awkward when best intentioned-how are we to minister to a perfect God-perfect in wisdom, strength, and everything-of whom Paul says that he is not worshipped with men's hands as though he needed anything?	false	398.78	423.795	18
8677_246948_000017_000001	I cannot help thinking that you are fighting merely with a word.	I cannot help thinking that you are fighting merely with a word.	true	423.795	426.73	14
8677_246948_000017_000002	Certainly, if the phrase ever was used in that sense, there is no meaning of the kind attached to it now: it stands merely for the forms of public worship."	Certainly, if the phrase ever was used in that sense, there is no meaning of the kind attached to it now: it stands merely for the forms of public worship."	false	426.8	434.5	15
8677_246948_000018_000000	"Were there no such thing as Divine Service in the true sense of the word, then, indeed it would scarcely be worth while to quarrel with its misapplication.	"Were there no such thing as Divine Service in the true sense of the word, then, indeed it would scarcely be worth while to quarrel with its misapplication.	true	434.54	442.45	17
8677_246948_000018_000001	But I assert that true and genuine service may be rendered to the living God; and, for the development of the divine nature in man, it is necessary that he should do something for God.	But I assert that true and genuine service may be rendered to the living God; and, for the development of the divine nature in man, it is necessary that he should do something for God.	false	442.79	451.99	18
8677_246948_000018_000002	Nor is it hard to discover how; for God is in every creature that he has made, and in their needs he is needy, and in all their afflictions he is afflicted.	Nor is it hard to discover how; for God is in every creature that he has made, and in their needs he is needy, and in all their afflictions he is afflicted.	true	452.15	460.81	17
8677_246948_000018_000003	Therefore Jesus says that whatever is done to one of his little ones is done to him.	Therefore Jesus says that whatever is done to one of his little ones is done to him.	true	460.94	465.76	14
8677_246948_000018_000004	And if the soul of a man be the temple of the Spirit, then is the place of that man's labour, his shop, his counting-house, his laboratory, the temple of Jesus Christ, where the spirit of the man is incarnate in work.--Mr.	And if the soul of a man be the temple of the Spirit, then is the place of that man's labour, his shop, his counting house, his laboratory, the temple of Jesus Christ, where the spirit of the man is incarnate in work.--mr	false	465.86	477.81	18
8677_246948_000018_000005	Drew!"--Here the gate-keeper stood up, and held out both his hands, palms upward, towards the draper on the other side of the table.--"Mr. Drew! your shop is the temple of your service where the Lord Christ, the only image of the Father is, or ought to be throned; your counter is, or ought to be his altar; and everything thereon laid, with intent of doing as well as you can for your neighbour, in the name of THE man Christ Jesus, is a true sacrifice offered to Him, a service done to the eternal creating Love of the universe."	Drew!"--Here the gate keeper stood up, and held out both his hands, palms upward, towards the draper on the other side of the table.--"mr Drew! your shop is the temple of your service where the Lord Christ, the only image of the Father is, or ought to be throned; your counter is, or ought to be his altar; and everything thereon laid, with intent of doing as well as you can for your neighbour, in the name of THE man Christ Jesus, is a true sacrifice offered to Him, a service done to the eternal creating Love of the universe."	false	477.81	506.29	18
