8742_245707_000002_000000	THE PRODUCTION OF THE WOMAN (In Four Articles)	THE PRODUCTION OF THE WOMAN (In Four Articles)
8742_245707_000003_000000	We must next consider the production of the woman.	We must next consider the production of the woman.
8742_245707_000003_000001	Under this head there are four points of inquiry:	Under this head there are four points of inquiry:
8742_245707_000004_000000	(1) Whether the woman should have been made in that first production of things?	(one) Whether the woman should have been made in that first production of things?
8742_245707_000005_000000	(2) Whether the woman should have been made from man?	(two) Whether the woman should have been made from man?
8742_245707_000006_000000	(3) Whether of man's rib?	(three) Whether of man's rib?
8742_245707_000009_000000	Whether the Woman Should Have Been Made in the First Production of Things?	Whether the Woman Should Have Been Made in the First Production of Things?
8742_245707_000010_000000	Objection 1: It would seem that the woman should not have been made in the first production of things.	Objection one: It would seem that the woman should not have been made in the first production of things.
8742_245707_000012_000001	But God foresaw that the woman would be an occasion of sin to man.	But God foresaw that the woman would be an occasion of sin to man.
8742_245707_000014_000003	Among perfect animals the active power of generation belongs to the male sex, and the passive power to the female.	Among perfect animals the active power of generation belongs to the male sex, and the passive power to the female.
8742_245707_000014_000005	But man is yet further ordered to a still nobler vital action, and that is intellectual operation. Therefore there was greater reason for the distinction of these two forces in man; so that the female should be produced separately from the male; although they are carnally united for generation.	But man is yet further ordered to a still nobler vital action, and that is intellectual operation. Therefore there was greater reason for the distinction of these two forces in man; so that the female should be produced separately from the male; although they are carnally united for generation.
8742_245707_000015_000003	On the other hand, as regards human nature in general, woman is not misbegotten, but is included in nature's intention as directed to the work of generation.	On the other hand, as regards human nature in general, woman is not misbegotten, but is included in nature's intention as directed to the work of generation.
8742_245707_000015_000004	Now the general intention of nature depends on God, Who is the universal Author of nature.	Now the general intention of nature depends on God, Who is the universal Author of nature.
8742_245707_000015_000005	Therefore, in producing nature, God formed not only the male but also the female.	Therefore, in producing nature, God formed not only the male but also the female.
8742_245707_000016_000001	One is servile, by virtue of which a superior makes use of a subject for his own benefit; and this kind of subjection began after sin.	One is servile, by virtue of which a superior makes use of a subject for his own benefit; and this kind of subjection began after sin.
8742_245707_000016_000002	There is another kind of subjection which is called economic or civil, whereby the superior makes use of his subjects for their own benefit and good; and this kind of subjection existed even before sin.	There is another kind of subjection which is called economic or civil, whereby the superior makes use of his subjects for their own benefit and good; and this kind of subjection existed even before sin.
8742_245707_000020_000001	For sex belongs both to man and animals.	For sex belongs both to man and animals.
8742_245707_000020_000002	But in the other animals the female was not made from the male.	But in the other animals the female was not made from the male.
8742_245707_000020_000003	Therefore neither should it have been so with man.	Therefore neither should it have been so with man.
8742_245707_000024_000003	Secondly, that man might love woman all the more, and cleave to her more closely, knowing her to be fashioned from himself.	Secondly, that man might love woman all the more, and cleave to her more closely, knowing her to be fashioned from himself.
8742_245707_000024_000006	Wherefore it was suitable for the woman to be made out of man, as out of her principle.	Wherefore it was suitable for the woman to be made out of man, as out of her principle.
8742_245707_000024_000007	Fourthly, there is a sacramental reason for this.	Fourthly, there is a sacramental reason for this.
8742_245707_000024_000008	For by this is signified that the Church takes her origin from Christ.	For by this is signified that the Church takes her origin from Christ.
8742_245707_000024_000010	5:32): "This is a great sacrament; but I speak in Christ and in the Church."	five thirty two): "This is a great sacrament; but I speak in Christ and in the Church."
8742_245707_000026_000003	On the other hand, the Divine Power, being infinite, can produce things of the same species out of any matter, such as a man from the slime of the earth, and a woman from out of man.	On the other hand, the Divine Power, being infinite, can produce things of the same species out of any matter, such as a man from the slime of the earth, and a woman from out of man.
8742_245707_000030_000000	Objection 1: It would seem that the woman should not have been formed from the rib of man.	Objection one: It would seem that the woman should not have been formed from the rib of man.
8742_245707_000031_000001	Therefore a rib of Adam belonged to the integrity of his body.	Therefore a rib of Adam belonged to the integrity of his body.
8742_245707_000031_000002	So, if a rib was removed, his body remained imperfect; which is unreasonable to suppose.	So, if a rib was removed, his body remained imperfect; which is unreasonable to suppose.
8742_245707_000032_000001	But there was no pain before sin.	But there was no pain before sin.
8742_245707_000035_000001	But this is quite impossible.	But this is quite impossible.
8742_245707_000035_000002	For such an increase of matter would either be by a change of the very substance of the matter itself, or by a change of its dimensions.	For such an increase of matter would either be by a change of the very substance of the matter itself, or by a change of its dimensions.
8742_245707_000035_000004	Wherefore multiplication of matter is quite unintelligible, as long as the matter itself remains the same without anything added to it; unless it receives greater dimensions.	Wherefore multiplication of matter is quite unintelligible, as long as the matter itself remains the same without anything added to it; unless it receives greater dimensions.
8742_245707_000036_000000	Wherefore, as no rarefaction is apparent in such multiplication of matter, we must admit an addition of matter: either by creation, or which is more probable, by conversion.	Wherefore, as no rarefaction is apparent in such multiplication of matter, we must admit an addition of matter: either by creation, or which is more probable, by conversion.
8742_245707_000037_000001	Much more, therefore, was it possible that by the Divine power the body of the woman should be produced from the man's rib.	Much more, therefore, was it possible that by the Divine power the body of the woman should be produced from the man's rib.
8742_245707_000041_000000	Objection 1: It would seem that the woman was not formed immediately by God.	Objection one: It would seem that the woman was not formed immediately by God.
8742_245707_000041_000003	Therefore she was not made immediately by God.	Therefore she was not made immediately by God.
8742_245707_000042_000002	But the woman's body was formed from corporeal matter.	But the woman's body was formed from corporeal matter.
8742_245707_000045_000003	Now God alone, the Author of nature, can produce an effect into existence outside the ordinary course of nature.	Now God alone, the Author of nature, can produce an effect into existence outside the ordinary course of nature.
