8791_291101_000003_000000	BUSINESS IS BUSINESS	BUSINESS IS BUSINESS
8791_291101_000007_000000	Cargan turned first, as usual, to the stock-market reports.	Cargan turned first, as usual, to the stock market reports.
8791_291101_000007_000004	His eye caught an explanatory note: the dividend on the preferred had been cut; the surplus was heavily reduced. His mind, searching rapidly over their business, fixed upon two marginal accounts--Jim Smith's and Waldron's.	His eye caught an explanatory note: the dividend on the preferred had been cut; the surplus was heavily reduced. His mind, searching rapidly over their business, fixed upon two marginal accounts-Jim Smith's and Waldron's.
8791_291101_000007_000005	In each case the collateral deposited had already been insufficient.	In each case the collateral deposited had already been insufficient.
8791_291101_000007_000006	Drawing out his note-book he swiftly figured.	Drawing out his note book he swiftly figured.
8791_291101_000007_000009	Gotta sell Waldron out. Must have made a thousand dollars out of that account first and last. Too bad.' A momentary sense of Waldron's calamity swept over him, but quickly evaporated.	Gotta sell Waldron out. Must have made a thousand dollars out of that account first and last. Too bad.' A momentary sense of Waldron's calamity swept over him, but quickly evaporated.
8791_291101_000007_000010	'Business is business,' he thought, and remembered, with a little angry satisfaction, Anita Waldron's coming-out dance and how the Runkles, who were invited, kept talking about it all winter. 'Old Waldron won't be so darn particular next year.'	'Business is business,' he thought, and remembered, with a little angry satisfaction, Anita Waldron's coming out dance and how the Runkles, who were invited, kept talking about it all winter. 'Old Waldron won't be so darn particular next year.'
8791_291101_000008_000002	Give me a kiss, dear, and take your old shirt.' She was a graceful woman, stiffened by an obvious corset, and faintly powdered.	Give me a kiss, dear, and take your old shirt.' She was a graceful woman, stiffened by an obvious corset, and faintly powdered.
8791_291101_000008_000003	A long yellow feather dangled from her orange hat, big pearls were set in her ears, and her shoe-buckles glittered as she walked.	A long yellow feather dangled from her orange hat, big pearls were set in her ears, and her shoe buckles glittered as she walked.
8791_291101_000009_000000	He kissed her admiringly.	He kissed her admiringly.
8791_291101_000009_000001	'Say, Martha, you look great,' he chuckled.	'Say, Martha, you look great,' he chuckled.
8791_291101_000010_000000	The train was starting; indeed he had just time to dash up the steps of his car.	The train was starting; indeed he had just time to dash up the steps of his car.
8791_291101_000010_000001	'Good-bye, dear,' she caroled.	'Good bye, dear,' she caroled.
8791_291101_000010_000004	A lurch of the train swung him heavily out among the chairs; to save himself he caught a shoulder and dropped into a seat.	A lurch of the train swung him heavily out among the chairs; to save himself he caught a shoulder and dropped into a seat.
8791_291101_000010_000006	It was Waldron.	It was Waldron.
8791_291101_000011_000002	Cargan offered him a cigar, but he put it aside quickly.	Cargan offered him a cigar, but he put it aside quickly.
8791_291101_000012_000000	'No, thank you; no, thank you--Well--they cut the dividend.' He looked at Cargan with a wan smile.	'No, thank you; no, thank you-Well-they cut the dividend.' He looked at Cargan with a wan smile.
8791_291101_000012_000001	'What'll I do, Cargan?	'What'll I do, Cargan?
8791_291101_000012_000002	They told me I'd find you on the train, and I thought I'd ask your advice.'	They told me I'd find you on the train, and I thought I'd ask your advice.'
8791_291101_000013_000001	'Sell, Mr. Waldron,' he answered earnestly, 'sell right off.	'Sell, mr Waldron,' he answered earnestly, 'sell right off.
8791_291101_000013_000002	That Brogan crowd's runnin' the company now, and they're no good, sell quick.'	That Brogan crowd's runnin' the company now, and they're no good, sell quick.'
