8879_300234_000000_000000	Barely two months previously Vancouver had explored and named these very waters and headlands.	Barely two months previously Vancouver had explored and named these very waters and headlands.	false	0	2.34	24.355787
8879_300234_000000_000001	A hostile old Indian explained bellicosely that the white sailors had fired {85} upon him.	A hostile old Indian explained bellicosely that the white sailors had fired {eighty five} upon him.	false	2.34	5.01	22.852123
8879_300234_000000_000002	For this outrage he demanded satisfaction in gifts from Mackenzie.	For this outrage he demanded satisfaction in gifts from Mackenzie.	false	5.01	5.7	26.286648
8879_300234_000000_000003	Few gifts had Mackenzie for the aggressive old chief.	Few gifts had Mackenzie for the aggressive old chief.	false	5.7	5.76	20
8879_300234_000000_000004	There were exactly twenty pounds of pemmican--two pounds a man for a three months' trip back.	There were exactly twenty pounds of pemmican-two pounds a man for a three months' trip back.	false	5.76	6.84	9
8879_300234_000000_000005	There remained also fifteen pounds of rice--the mainstay of the voyageurs--and six pounds of mouldy flour.	There remained also fifteen pounds of rice-the mainstay of the voyageurs-and six pounds of mouldy flour.	false	6.84	8.01	19.932343
8879_300234_000000_000006	The Indians proved so vociferously hostile that two voyageurs had to stand guard while the others slept on the bare rocks.	The Indians proved so vociferously hostile that two voyageurs had to stand guard while the others slept on the bare rocks.	false	8.01	8.37	7
8879_300234_000000_000007	On one occasion savages in dug-outs began hurling spears.	On one occasion savages in dug outs began hurling spears.	false	8.37	9.3	12
8879_300234_000000_000008	But no harm resulted from these unfriendly demonstrations, and the party of explorers presently set out on their homeward journey.	But no harm resulted from these unfriendly demonstrations, and the party of explorers presently set out on their homeward journey.	false	9.3	10.53	18
8879_300234_000001_000000	Mackenzie had accomplished his object.	Mackenzie had accomplished his object.	false	10.53	11.115	48
8879_300234_000001_000001	In the race to the Pacific overland he was the first of the explorers of North America to cross the continent and reach the ocean.	In the race to the Pacific overland he was the first of the explorers of North America to cross the continent and reach the ocean.	false	11.115	11.91	9
8879_300234_000001_000002	Late in August the voyageurs were back at the little fort on the Peace river.	Late in August the voyageurs were back at the little fort on the Peace river.	false	11.91	14.49	19
8879_300234_000001_000003	Mackenzie shortly afterwards quitted the fur country and retired to Scotland, where he wrote the story of his explorations.	Mackenzie shortly afterwards quitted the fur country and retired to Scotland, where he wrote the story of his explorations.	false	14.49	19.02	23.32008
8879_300234_000001_000004	His book appeared in 1801, and in the following year he was knighted by the king for his great achievements.	His book appeared in eighteen o one, and in the following year he was knighted by the king for his great achievements.	false	19.02	21.39	17.066872
8879_300234_000002_000000	[1] See another volume of this Series, _Adventurers of the Far North_, chap.	[one] See another volume of this Series, underscore Adventurers of the Far North underscore, chap.	false	21.39	22.74	17.475079
8879_300234_000002_000001	iii.	iii.	false	22.74	22.86	19
8879_300234_000003_000000	[2] The Takulli.	[two] The Takulli.	false	22.86	23.19	10
8879_300234_000003_000001	This tribe cremated the dead, and the widows collected the ashes of their dead husbands and carried them during a period of three years: hence the name 'Carriers.'	This tribe cremated the dead, and the widows collected the ashes of their dead husbands and carried them during a period of three years: hence the name 'Carriers.'	false	23.19	29.61	21.753857
8879_300234_000004_000000	{86}	{eighty six}	false	29.61	29.61	
8879_300234_000005_000000	CHAPTER VI	CHAPTER six	false	29.61	29.61	
8879_300234_000006_000000	THE DESCENT OF THE FRASER RIVER	THE DESCENT OF THE FRASER RIVER	false	29.61	32.68	20.108694
8879_300234_000007_000000	American traders were not slow to follow up the discovery of Robert Gray on the Pacific.	American traders were not slow to follow up the discovery of Robert Gray on the Pacific.	true	34.25	39.88	18
8879_300234_000007_000001	Spain, the pioneer pathfinder, had ceded Louisiana to France; and France, by way of checkmating British advance in North America, had sold Louisiana to the United States for fifteen million dollars.	Spain, the pioneer pathfinder, had ceded Louisiana to France; and France, by way of checkmating British advance in North America, had sold Louisiana to the United States for fifteen million dollars.	false	40.25	53.95	18
8879_300234_000007_000002	What did Louisiana include?	What did Louisiana include?	true	54.74	56.95	18
8879_300234_000007_000003	Certainly, from New Orleans to the Missouri.	Certainly, from New Orleans to the Missouri.	true	57.2	60.28	12
8879_300234_000007_000004	Did it also include from the Missouri to Gray's river, the Columbia?	Did it also include from the Missouri to Gray's river, the Columbia?	true	60.53	64.96	13
8879_300234_000007_000005	The United States had sent Meriwether Lewis and William Clark overland from the Missouri to the Columbia, ostensibly on a scientific expedition, but in reality to lay claim to the new territory for the United States.	The United States had sent Meriwether Lewis and William Clark overland from the Missouri to the Columbia, ostensibly on a scientific expedition, but in reality to lay claim to the new territory for the United States.	true	65.33	79.09	16
8879_300234_000007_000006	This brings the exploration of the Pacific down to 1806.	This brings the exploration of the Pacific down to eighteen o six.	true	79.34	84.79	23.291433
8879_300234_000008_000000	Take a look at the map!	Take a look at the map!	true	85.88	87.31	20.083876
