920_681_000019_000000	Chapter VI.	Chapter six.
920_681_000020_000000	He did in fact find his father still at table.	He did in fact find his father still at table.
920_681_000020_000001	Though there was a dining-room in the house, the table was laid as usual in the drawing-room, which was the largest room, and furnished with old-fashioned ostentation. The furniture was white and very old, upholstered in old, red, silky material.	Though there was a dining room in the house, the table was laid as usual in the drawing room, which was the largest room, and furnished with old-fashioned ostentation. The furniture was white and very old, upholstered in old, red, silky material.
920_681_000020_000002	In the spaces between the windows there were mirrors in elaborate white and gilt frames, of old-fashioned carving.	In the spaces between the windows there were mirrors in elaborate white and gilt frames, of old-fashioned carving.
920_681_000020_000003	On the walls, covered with white paper, which was torn in many places, there hung two large portraits--one of some prince who had been governor of the district thirty years before, and the other of some bishop, also long since dead. In the corner opposite the door there were several ikons, before which a lamp was lighted at nightfall ... not so much for devotional purposes as to light the room.	On the walls, covered with white paper, which was torn in many places, there hung two large portraits-one of some prince who had been governor of the district thirty years before, and the other of some bishop, also long since dead. In the corner opposite the door there were several ikons, before which a lamp was lighted at nightfall ... not so much for devotional purposes as to light the room.
920_681_000020_000004	Fyodor Pavlovitch used to go to bed very late, at three or four o'clock in the morning, and would wander about the room at night or sit in an arm-chair, thinking.	Fyodor Pavlovitch used to go to bed very late, at three or four o'clock in the morning, and would wander about the room at night or sit in an arm chair, thinking.
920_681_000021_000000	When Alyosha came in, dinner was over, but coffee and preserves had been served.	When Alyosha came in, dinner was over, but coffee and preserves had been served.
920_681_000021_000001	Fyodor Pavlovitch liked sweet things with brandy after dinner. Ivan was also at table, sipping coffee.	Fyodor Pavlovitch liked sweet things with brandy after dinner. Ivan was also at table, sipping coffee.
920_681_000022_000003	Sit down.	Sit down.
920_681_000022_000005	I don't offer you brandy, you're keeping the fast.	I don't offer you brandy, you're keeping the fast.
920_681_000022_000006	But would you like some?	But would you like some?
920_681_000022_000008	Smerdyakov, go to the cupboard, the second shelf on the right.	Smerdyakov, go to the cupboard, the second shelf on the right.
920_681_000022_000009	Here are the keys.	Here are the keys.
920_681_000022_000010	Look sharp!"	Look sharp!"
920_681_000024_000001	If you won't have it, we will," said Fyodor Pavlovitch, beaming.	If you won't have it, we will," said Fyodor Pavlovitch, beaming.
920_681_000024_000002	"But stay--have you dined?"	"But stay-have you dined?"
920_681_000025_000001	"Though I should be pleased to have some hot coffee."	"Though I should be pleased to have some hot coffee."
920_681_000026_000001	He'll have some coffee.	He'll have some coffee.
920_681_000026_000002	Does it want warming?	Does it want warming?
920_681_000026_000003	No, it's boiling.	No, it's boiling.
920_681_000026_000004	It's capital coffee: Smerdyakov's making.	It's capital coffee: Smerdyakov's making.
920_681_000026_000005	My Smerdyakov's an artist at coffee and at fish patties, and at fish soup, too.	My Smerdyakov's an artist at coffee and at fish patties, and at fish soup, too.
920_681_000026_000006	You must come one day and have some fish soup.	You must come one day and have some fish soup.
920_681_000026_000007	Let me know beforehand....	Let me know beforehand....
920_681_000026_000008	But, stay; didn't I tell you this morning to come home with your mattress and pillow and all?	But, stay; didn't I tell you this morning to come home with your mattress and pillow and all?
920_681_000026_000009	Have you brought your mattress?	Have you brought your mattress?
920_681_000028_000001	There, my darling, I couldn't do anything to vex you.	There, my darling, I couldn't do anything to vex you.
