93_123172_000001_000000	Butter.	Butter.
93_123172_000002_000000	It is of the first importance that every thing connected with milk and butter should be kept clean; if the milk acquires an unpleasant taste, it communicates it to the butter.	It is of the first importance that every thing connected with milk and butter should be kept clean; if the milk acquires an unpleasant taste, it communicates it to the butter.
93_123172_000002_000001	Tin pans are best to keep milk in, and they should be painted on the outside to keep them from rusting when they are put in water.	Tin pans are best to keep milk in, and they should be painted on the outside to keep them from rusting when they are put in water.
93_123172_000003_000000	In summer, milk should be kept as cool as possible; before it is strained, the pans and strainer should be rinsed with cold water, and the milk not covered until it is cold, as soon as the cream rises sufficiently, it should be skimmed, and put in a large tin bucket with a lid that fits down tight, and stirred every day.	In summer, milk should be kept as cool as possible; before it is strained, the pans and strainer should be rinsed with cold water, and the milk not covered until it is cold, as soon as the cream rises sufficiently, it should be skimmed, and put in a large tin bucket with a lid that fits down tight, and stirred every day.
93_123172_000003_000001	Butter will be spoiled by neglecting to stir the cream, a yellow scum will form on it, which gives it an unpleasant taste.	Butter will be spoiled by neglecting to stir the cream, a yellow scum will form on it, which gives it an unpleasant taste.
93_123172_000004_000000	If you have no way of keeping your cream cool in hot weather, it ought to be churned twice a week, the earlier in the morning the better. Always put cold water in your churn the night before you use it, and change it in the morning just before you put in the cream.	If you have no way of keeping your cream cool in hot weather, it ought to be churned twice a week, the earlier in the morning the better. Always put cold water in your churn the night before you use it, and change it in the morning just before you put in the cream.
93_123172_000004_000001	When the butter is gathering, take off the lid of the churn to let the heated air escape, and move it gently, have your butter ladle and pan scalded and cooled, take out the butter and work it till all the milk is out, scrape some lumps of salt, and work in, cover it up, and set away in a cool place till the next morning, when work it again.	When the butter is gathering, take off the lid of the churn to let the heated air escape, and move it gently, have your butter ladle and pan scalded and cooled, take out the butter and work it till all the milk is out, scrape some lumps of salt, and work in, cover it up, and set away in a cool place till the next morning, when work it again.
93_123172_000005_000001	The air of a well will keep butter sweet for several weeks in the hottest weather.	The air of a well will keep butter sweet for several weeks in the hottest weather.
93_123172_000005_000003	It can be kept in this way as firm and sweet as in an ice house.	It can be kept in this way as firm and sweet as in an ice house.
93_123172_000005_000005	If you print butter for home use, it is not necessary to weigh it, make it out in little lumps that will weigh about half a pound, scald the print and ladle, and put them in cold water, as you print each lump, lay it on a dish.	If you print butter for home use, it is not necessary to weigh it, make it out in little lumps that will weigh about half a pound, scald the print and ladle, and put them in cold water, as you print each lump, lay it on a dish.
93_123172_000008_000000	To put up Butter for Winter.	To put up Butter for Winter.
93_123172_000009_000000	Work it well, and salt it rather more than for table use, and pack it in stone pans or jars, with a thin cloth on the top, and salt on it an inch thick, keep it in a cool place, and if it is sweet when made, it will keep good till spring.	Work it well, and salt it rather more than for table use, and pack it in stone pans or jars, with a thin cloth on the top, and salt on it an inch thick, keep it in a cool place, and if it is sweet when made, it will keep good till spring.
93_123172_000009_000001	It should be tied up with paper to exclude the air.	It should be tied up with paper to exclude the air.
93_123172_000011_000001	Sift these ingredients one above another, on a large sized sheet of paper, then mix them well together, keep this mixture covered up close in a nice jar, and placed in a dry closet.	Sift these ingredients one above another, on a large sized sheet of paper, then mix them well together, keep this mixture covered up close in a nice jar, and placed in a dry closet.
93_123172_000012_000000	When your butter is worked and salted in the usual way, and ready to put in the jars, use one ounce of this composition to every pound of butter, work it well into the mass.	When your butter is worked and salted in the usual way, and ready to put in the jars, use one ounce of this composition to every pound of butter, work it well into the mass.
