986_129388_000000_000000	EXTINCTION, n.	EXTINCTION, n.	false	1.68	3.96	21.815376
986_129388_000000_000001	The raw material out of which theology created the future state.	The raw material out of which theology created the future state.	false	3.96	19.77	20.681185
986_129388_000001_000000	F	F	true	19.77	20.5	17.347424
986_129388_000002_000000	FAIRY, n.	FAIRY, n.	false	21.17	23.55	19.742865
986_129388_000002_000001	A creature, variously fashioned and endowed, that formerly inhabited the meadows and forests.	A creature, variously fashioned and endowed, that formerly inhabited the meadows and forests.	true	23.55	29.35	19
986_129388_000002_000002	It was nocturnal in its habits, and somewhat addicted to dancing and the theft of children.	It was nocturnal in its habits, and somewhat addicted to dancing and the theft of children.	true	29.45	34.48	17
986_129388_000002_000003	The fairies are now believed by naturalist to be extinct, though a clergyman of the Church of England saw three near Colchester as lately as 1855, while passing through a park after dining with the lord of the manor.	The fairies are now believed by naturalist to be extinct, though a clergyman of the Church of England saw three near Colchester as lately as eighteen fifty five, while passing through a park after dining with the lord of the manor.	false	34.73	48.87	19.316927
986_129388_000002_000004	The sight greatly staggered him, and he was so affected that his account of it was incoherent.	The sight greatly staggered him, and he was so affected that his account of it was incoherent.	true	48.87	54.7	20
986_129388_000002_000005	In the year 1807 a troop of fairies visited a wood near Aix and carried off the daughter of a peasant, who had been seen to enter it with a bundle of clothing.	In the year eighteen o seven a troop of fairies visited a wood near Aix and carried off the daughter of a peasant, who had been seen to enter it with a bundle of clothing.	false	55.16	65.53	19
986_129388_000002_000006	The son of a wealthy _bourgeois_ disappeared about the same time, but afterward returned.	The son of a wealthy underscore bourgeois underscore disappeared about the same time, but afterward returned.	false	65.78	71.47	19.644598
986_129388_000002_000007	He had seen the abduction been in pursuit of the fairies.	He had seen the abduction been in pursuit of the fairies.	true	71.69	75.13	23
986_129388_000002_000008	Justinian Gaux, a writer of the fourteenth century, avers that so great is the fairies' power of transformation that he saw one change itself into two opposing armies and fight a battle with great slaughter, and that the next day, after it had resumed its original shape and gone away, there were seven hundred bodies of the slain which the villagers had to bury.	Justinian Gaux, a writer of the fourteenth century, avers that so great is the fairies' power of transformation that he saw one change itself into two opposing armies and fight a battle with great slaughter, and that the next day, after it had resumed its original shape and gone away, there were seven hundred bodies of the slain which the villagers had to bury.	false	75.62	98.8	20
986_129388_000002_000009	He does not say if any of the wounded recovered.	He does not say if any of the wounded recovered.	true	99.2	102.58	21.733097
986_129388_000002_000010	In the time of Henry III, of England, a law was made which prescribed the death penalty for "Kyllynge, wowndynge, or mamynge" a fairy, and it was universally respected.	In the time of Henry the third, of England, a law was made which prescribed the death penalty for "Kyllynge, wowndynge, or mamynge" a fairy, and it was universally respected.	false	103.19	115.27	20
986_129388_000003_000000	FAITH, n.	FAITH, n.	false	116.33	118.8	17.762684
986_129388_000003_000001	Belief without evidence in what is told by one who speaks without knowledge, of things without parallel.	Belief without evidence in what is told by one who speaks without knowledge, of things without parallel.	true	118.8	124.87	18
986_129388_000004_000000	FAMOUS, adj.	FAMOUS, adj.	false	125.69	128.16	21.699366
986_129388_000004_000001	Conspicuously miserable.	Conspicuously miserable.	true	128.16	130.12	19
986_129388_000005_000000	Done to a turn on the iron, behold Him who to be famous aspired. Content?	Done to a turn on the iron, behold Him who to be famous aspired. Content?	true	130.97	138.22	19.355787
986_129388_000005_000001	Well, his grill has a plating of gold, And his twistings are greatly admired.	Well, his grill has a plating of gold, And his twistings are greatly admired.	true	138.32	143.55	20.692049
986_129388_000006_000000	Hassan Brubuddy	Hassan Brubuddy	false	143.55	146.49	17.913025
986_129388_000007_000000	FASHION, n.	FASHION, n.	false	146.49	149.19	19.06249
986_129388_000007_000001	A despot whom the wise ridicule and obey.	A despot whom the wise ridicule and obey.	false	149.19	153.13	19
986_129388_000008_000000	A king there was who lost an eye In some excess of passion; And straight his courtiers all did try To follow the new fashion.	A king there was who lost an eye In some excess of passion; And straight his courtiers all did try To follow the new fashion.	false	153.71	162.01	20
986_129388_000009_000000	Each dropped one eyelid when before The throne he ventured, thinking 'Twould please the king.	Each dropped one eyelid when before The throne he ventured, thinking 'Twould please the king.	true	162.41	167.805	20
986_129388_000009_000001	That monarch swore He'd slay them all for winking.	That monarch swore He'd slay them all for winking.	true	167.805	171.07	20.999252
986_129388_000010_000000	What should they do?	What should they do?	false	171.29	172.87	22.616165
986_129388_000010_000001	They were not hot To hazard such disaster; They dared not close an eye--dared not See better than their master.	They were not hot To hazard such disaster; They dared not close an eye-dared not See better than their master.	true	172.91	179.91	20.358871
986_129388_000011_000000	Seeing them lacrymose and glum, A leech consoled the weepers: He spread small rags with liquid gum And covered half their peepers.	Seeing them lacrymose and glum, A leech consoled the weepers: He spread small rags with liquid gum And covered half their peepers.	false	179.91	189.4	18.995848
986_129388_000012_000000	The court all wore the stuff, the flame Of royal anger dying. That's how court-plaster got its name Unless I'm greatly lying.	The court all wore the stuff, the flame Of royal anger dying. That's how court plaster got its name Unless I'm greatly lying.	true	189.83	199.8	20.783527
